"drug_concept_id","drug_name"
932745,"bumetanide"
720810,"pramipexole"
1237049,"theophylline"
785788,"olanzapine"
970250,"spironolactone"
733523,"rivastigmine"
967823,"sodium chloride"
722031,"paroxetine"
723013,"diazepam"
778268,"imipramine"
751412,"fluvoxamine"
717607,"desvenlafaxine"
1560524,"glucose"
19010309,"water"
19027362,"potassium phosphate"
19126511,"gluconate"
911735,"rabeprazole"
1151789,"etanercept"
989482,"dutasteride"
19071128,"copper"
906780,"metoclopramide"
19027958,"fesoterodine"
1314924,"gemcitabine"
1549786,"ethinyl estradiol"
1383815,"isosorbide"
19092849,"magnesium chloride"
1560171,"glipizide"
1314865,"azacitidine"
1717704,"valacyclovir"
949279,"carboxymethylcellulose"
1704139,"posaconazole"
1153013,"promethazine"
836715,"temazepam"
1386957,"labetalol"
1387104,"trastuzumab"
713823,"ropinirole"
704943,"methocarbamol"
1516800,"risedronate"
903963,"triamcinolone"
19106973,"omega-3 fatty acids"
19010696,"zinc"
744798,"zonisamide"
19006586,"rufinamide"
19136626,"sulpiride"
19030353,"bromazepam"
1636780,"testosterone"
1341149,"temozolomide"
1341238,"terazosin"
785649,"ketamine"
19005046,"pyridoxine"
19087394,"lacosamide"
734275,"phenobarbital"
795661,"felbamate"
753626,"propofol"
40222444,"denosumab"
751347,"primidone"
1714277,"voriconazole"
19047423,"abciximab"
710062,"amitriptyline"
1192710,"chlorpheniramine"
1136980,"ketorolac"
929435,"acetazolamide"
19011773,"ascorbic acid"
19059097,"cholesterol"
1517824,"niacin"
766529,"haloperidol"
1111706,"zafirlukast"
914335,"atropine"
19036797,"tolvaptan"
1592085,"lovastatin"
1310353,"lutein"
794852,"chlorpromazine"
1344965,"guanfacine"
1399177,"sodium ferric gluconate complex"
777221,"hydroxyzine"
943116,"trolamine salicylate"
1516976,"insulin detemir"
19034726,"sirolimus"
1786621,"cephalexin"
1746940,"erythromycin"
997276,"cimetidine"
789578,"levodopa"
782211,"entacapone"
19016463,"benserazide"
19003953,"rocuronium"
19024770,"biotin"
19049024,"potassium"
19012565,"mycophenolic acid"
19011021,"moxonidine"
1326303,"digoxin"
1308290,"vincristine"
42801287,"pertuzumab"
19047135,"placebo"
986417,"polyethylene glycol 3350"
1315946,"letrozole"
1398399,"exemestane"
1735947,"rifaximin"
40239330,"telaprevir"
1762711,"ribavirin"
1714165,"peginterferon alfa-2a"
43560354,"levomilnacipran"
1311078,"cytarabine"
1797155,"peginterferon alfa-2b"
40171288,"tocilizumab"
757352,"eszopiclone"
1397141,"bevacizumab"
1337651,"vorinostat"
1337620,"capecitabine"
1367268,"irinotecan"
19017742,"febuxostat"
40226742,"olmesartan"
1748921,"ritonavir"
1781406,"stavudine"
1736971,"abacavir"
1704183,"lamivudine"
1101898,"leflunomide"
718583,"nicotine"
1541079,"corticotropin"
708298,"midazolam"
735843,"natalizumab"
1197677,"clemastine"
1317967,"aliskiren"
997881,"clindamycin"
1790868,"amikacin"
1754994,"fluconazole"
922570,"nystatin"
40241331,"rivaroxaban"
1307863,"verapamil"
19115050,"rilmenidine"
1792429,"proguanil"
19125201,"pristinamycin"
19078460,"tixocortol"
19059796,"gliclazide"
43014182,"mipomersen"
19035344,"phenprocoumon"
40239056,"abiraterone"
42900250,"enzalutamide"
40161532,"ustekinumab"
19127669,"lithium aspartate"
712615,"ziprasidone"
1373225,"perindopril"
19044522,"zinc sulfate"
19024063,"acenocoumarol"
1317640,"telmisartan"
44507848,"ibrutinib"
40242573,"Bifidobacterium longum"
924724,"dicyclomine"
1775741,"cefoxitin"
964339,"sulfasalazine"
19051926,"magnesium lactate"
953076,"famotidine"
35606214,"ixazomib"
19039926,"dexlansoprazole"
19019029,"nifuratel"
1315411,"cetuximab"
40238930,"rilpivirine"
724908,"biperiden"
19005570,"trimeprazine"
19044883,"zopiclone"
19053610,"propiomazine"
705178,"trihexyphenidyl"
19010886,"zuclopenthixol"
19071905,"lithium sulfate"
19092283,"chlormethiazole"
1312706,"alemtuzumab"
1756831,"darunavir"
987245,"lactulose"
1335471,"benazepril"
1351557,"candesartan"
19080458,"eculizumab"
40168385,"romidepsin"
778474,"tizanidine"
537647,"palivizumab"
40242675,"crizotinib"
40239216,"linagliptin"
44785094,"sofosbuvir"
754270,"protriptyline"
917336,"desoximetasone"
1507705,"cortisone"
1588000,"desogestrel"
43014237,"pomalidomide"
1321341,"norepinephrine"
1742253,"levofloxacin"
19093848,"magnesium sulfate"
1304850,"filgrastim"
19037038,"calcium gluconate"
939871,"sodium phosphate"
1748975,"cefepime"
1717327,"ampicillin"
1309068,"minoxidil"
43013024,"apixaban"
1396131,"ferrous sulfate"
45775372,"dabigatran"
705944,"methylphenidate"
1736887,"linezolid"
1363387,"sorafenib"
19041843,"carbocysteine"
985708,"ketoconazole"
19100761,"felbinac"
1316354,"bendroflumethiazide"
1560305,"omega-3 acid ethyl esters (USP)"
1114220,"naloxone"
954688,"latanoprost"
1395058,"chlorthalidone"
780369,"metaxalone"
40165636,"pitavastatin"
904356,"methenamine"
1782521,"isoniazid"
1146810,"piroxicam"
941258,"docusate"
993631,"magnesium oxide"
1558471,"cabergoline"
1503432,"pegvisomant"
1703603,"famciclovir"
1738366,"cefprozil"
1360332,"glucosamine"
936748,"aprepitant"
19037833,"domperidone"
911354,"palonosetron"
19041065,"golimumab"
937368,"infliximab"
1135766,"phenylephrine"
42709322,"axitinib"
704599,"triazolam"
19100363,"clothiapine"
1794280,"mebendazole"
924939,"bisacodyl"
19008264,"vinblastine"
1308738,"vitamin B12"
990678,"chlordiazepoxide"
1525348,"silver"
966991,"simethicone"
994341,"meclizine"
19110701,"fish oils"
19045045,"ergocalciferol"
916005,"solifenacin"
19032619,"amorolfine"
904525,"bimatoprost"
991825,"trospium"
984232,"isotretinoin"
1547504,"rosiglitazone"
1711947,"deferoxamine"
1300978,"megestrol"
1126557,"dihydroergotamine"
19115044,"prothipendyl"
43012249,"sarcosine"
1710281,"tenofovir disoproxil"
1753745,"albendazole"
911064,"zinc oxide"
1703069,"emtricitabine"
1738135,"efavirenz"
1525215,"pioglitazone"
939506,"sodium bicarbonate"
1555120,"fludrocortisone"
1308368,"midodrine"
1760616,"quinine"
1359548,"lapatinib"
19012346,"eltrombopag"
40167554,"pazopanib"
1315865,"fondaparinux"
751246,"lithium carbonate"
19052903,"promazine"
1326012,"isradipine"
1708748,"zanamivir"
19002912,"nelarabine"
1308473,"tinzaparin"
19087090,"amantadine"
1724869,"didanosine"
1727223,"atazanavir"
929638,"acitretin"
19063874,"roxithromycin"
1774470,"cefotaxime"
1134439,"caffeine"
19010128,"vitamin K"
19091377,"poractant alfa"
1763204,"rifampin"
1759455,"pyrazinamide"
1749301,"ethambutol"
19018517,"azosemide"
1712889,"raltegravir"
1717002,"enfuvirtide"
1517740,"paricalcitol"
709567,"lisdexamfetamine"
926487,"pancreatin"
1037358,"thiethylperazine"
1343916,"epinephrine"
1523280,"diazoxide"
43525774,"chondroitin sulfate (chicken)"
950696,"nizatidine"
19095467,"ethyl loflazepate"
19055224,"flunitrazepam"
1741122,"tazobactam"
1350489,"prazosin"
19117912,"immunoglobulin G"
1511449,"danazol"
1381253,"anagrelide"
1192218,"levalbuterol"
19136716,"taurine"
19008339,"vitamin A"
1542948,"follitropin alfa"
1598819,"clomiphene"
1563600,"chorionic gonadotropin"
1836391,"sulfadiazine"
1787101,"maraviroc"
1760039,"pyrimethamine"
19063575,"esmolol"
915542,"brimonidine"
902427,"timolol"
1383925,"isosorbide dinitrate"
1110727,"cyproheptadine"
19062817,"riboflavin"
44507580,"macitentan"
40234834,"vilazodone"
730548,"bromocriptine"
40235485,"azilsartan"
19122137,"vildagliptin"
19088167,"ambroxol"
1353776,"felodipine"
19045290,"evening primrose oil"
19010792,"cyproterone"
1757803,"ganciclovir"
40240664,"indacaterol"
1344354,"epirubicin"
1548111,"cinacalcet"
990499,"sodium phosphate, monobasic"
46234437,"ivabradine"
19031397,"dipyrone"
19018013,"micafungin"
938268,"sennosides, USP"
912263,"certolizumab pegol"
1110942,"omalizumab"
1549686,"fluvastatin"
718122,"oxcarbazepine"
1118045,"oxaprozin"
19032407,"romiplostim"
1354860,"flecainide"
1305447,"methyldopa"
1345858,"pindolol"
1304044,"fulvestrant"
1116031,"zolmitriptan"
1133201,"buprenorphine"
19080226,"milnacipran"
42873639,"aclidinium"
1119510,"dextromethorphan"
1716903,"moxifloxacin"
992456,"chlorophyll"
1391846,"lomustine"
19015602,"nefopam"
1717240,"amphotericin B"
19041222,"phloroglucinol"
19080982,"ranibizumab"
1714319,"naltrexone"
1552310,"progesterone"
19113063,"nilvadipine"
19072027,"menatetrenone"
19067274,"ipriflavone"
19137362,"thiamphenicol"
920293,"nitrofurantoin"
19015802,"lercanidipine"
1301152,"melatonin"
43526424,"dimethyl fumarate"
735951,"riluzole"
1113648,"nabumetone"
1361711,"nitroglycerin"
948487,"polyethylene glycol 300"
738156,"doxepin"
937439,"bethanechol"
766209,"selegiline"
756018,"fluphenazine"
19101604,"cod liver oil"
928744,"dimenhydrinate"
1311276,"vardenafil"
989878,"lidocaine"
19059547,"potassium gluconate"
710650,"modafinil"
1154077,"rizatriptan"
738818,"doxylamine"
930021,"alfuzosin"
19072030,"curcumin"
1347450,"alteplase"
19018419,"niacinamide"
913782,"tolterodine"
920458,"betamethasone"
934075,"azelastine"
1189458,"frovatriptan"
19067971,"magnesium gluconate"
1358436,"dasatinib"
19037891,"chlorocresol"
945286,"pilocarpine"
19015768,"methoxy polyethylene glycol-epoetin beta"
43013884,"alogliptin"
1302398,"ticlopidine"
1381504,"alprostadil"
1189596,"dihydrocodeine"
1366310,"goserelin"
44507676,"obinutuzumab"
1390051,"chlorambucil"
40230712,"eribulin"
1436678,"tamoxifen"
19086888,"deflazacort"
19029398,"acemetacin"
1335606,"disopyramide"
40163615,"dronedarone"
19043191,"tulobuterol"
742185,"atomoxetine"
40170911,"liraglutide"
19053979,"fenoterol"
40236897,"roflumilast"
991855,"Saccharomyces boulardii"
19011035,"lactate"
1344905,"carboplatin"
35605594,"fosaprepitant"
40241186,"ticagrelor"
19071936,"loxoprofen"
1336825,"bortezomib"
1301267,"melphalan"
43526465,"canagliflozin"
19055217,"carbomer"
1348265,"anastrozole"
1500211,"medroxyprogesterone"
1342346,"toremifene"
792263,"loxapine"
19051234,"cyamemazine"
1525746,"agalsidase beta"
19050216,"cilazapril"
942350,"torsemide"
19009819,"molsidomine"
19072087,"metopimazine"
966282,"selenium"
1152631,"cromolyn"
986117,"ketotifen"
19026459,"tapentadol"
1303425,"tranexamic acid"
1126658,"hydromorphone"
952004,"sevelamer"
40244266,"aflibercept"
701322,"memantine"
1313200,"nadolol"
940426,"calcium polycarbophil"
42900359,"calcitonin"
1353256,"propafenone"
40077118,"pip / tazo Inj"
959665,"pyrethrins"
923672,"hyoscyamine"
19005626,"trimetazidine"
1325363,"erlotinib"
1304919,"pemetrexed"
909841,"methylnaltrexone"
987366,"lubiprostone"
981709,"dorzolamide"
42873636,"mirabegron"
781182,"ramelteon"
1311443,"dactinomycin"
42903827,"coenzyme A"
19058572,"calcium citrate"
1396012,"ferrous gluconate"
19061821,"chromium"
1583722,"exenatide"
40166035,"saxagliptin"
44507780,"eslicarbazepine"
19071995,"manidipine"
1516766,"repaglinide"
1741309,"terbinafine"
1301065,"dalteparin"
1102527,"meperidine"
1504620,"methimazole"
1150345,"meloxicam"
40224726,"doconexent"
1518148,"colesevelam"
976545,"potassium citrate"
1154332,"pseudoephedrine"
907879,"miconazole"
19022956,"bezafibrate"
1717963,"ertapenem"
19134000,"piribedil"
1103006,"desloratadine"
19024191,"reteplase"
756349,"flurazepam"
790253,"clorazepate"
964407,"salicylic acid"
1389036,"mitomycin"
19035631,"calcitriol"
1377023,"hydroxocobalamin"
1331247,"pentoxifylline"
1595799,"ferrous fumarate"
43012417,"pasireotide"
19014977,"nicorandil"
44506752,"riociguat"
19088328,"alglucosidase alfa"
992956,"magnesium hydroxide"
1125443,"dornase alfa"
19122327,"imidapril"
19069022,"sodium fluoride"
729855,"botulinum toxin type A"
746977,"mirikizumab"
1309188,"mitoxantrone"
1761033,"glutaral"
735340,"phentermine"
1139179,"bromfenac"
42709325,"tafluprost"
909358,"cyclizine"
19084670,"bivalirudin"
42873638,"carfilzomib"
1000772,"granisetron"
1703063,"valganciclovir"
45892628,"nivolumab"
40238188,"ipilimumab"
961304,"shark liver oil"
733008,"perphenazine"
40238770,"boceprevir"
19014202,"alfacalcidol"
748010,"estazolam"
1776684,"ceftazidime"
951469,"calcium acetate"
933724,"phenazopyridine"
1395773,"iron sucrose"
40244281,"astaxanthin"
40168296,"krill oil"
19030387,"bromelains"
1389885,"red yeast rice"
19050104,"carnitine"
1436650,"mercaptopurine"
43012222,"sulfur dioxide"
915981,"neomycin"
42709320,"ingenol mebutate"
1362979,"dofetilide"
1189754,"rofecoxib"
19137377,"thimerosal"
1150871,"misoprostol"
1836430,"sulfamethoxazole"
1137460,"salsalate"
923081,"ofloxacin"
1326481,"pegaspargase"
40163718,"prasugrel"
911891,"fiber"
957797,"psyllium"
976778,"hydroquinone"
1368671,"milrinone"
1771162,"cefazolin"
19061088,"dexmedetomidine"
1746114,"piperacillin"
1380191,"interferon gamma-1b"
966913,"silver nitrate"
1337720,"dobutamine"
19002770,"desflurane"
45775571,"glycopyrronium"
717136,"neostigmine"
19012598,"vecuronium"
19060393,"quercetin"
787787,"hyaluronate"
43013182,"ponatinib"
1343039,"triptorelin"
901656,"menthol"
908921,"calcipotriene"
951511,"mupirocin"
19008009,"cosyntropin"
1236607,"sulindac"
939881,"capsaicin"
19011091,"deferiprone"
836877,"tetrabenazine"
1331235,"quinapril"
1125765,"oxymorphone"
746871,"sodium gualenate"
19063763,"flopropione"
1701928,"activated charcoal"
37002370,"oxybate"
42899937,"polyethylene glycol 4000"
19058410,"degarelix"
19005015,"methohexital"
1319998,"acebutolol"
1380068,"interferon alfa-2b"
1236744,"terbutaline"
19012925,"silodosin"
955583,"fluorometholone"
915855,"olopatadine"
1747005,"cefditoren"
1799139,"oseltamivir"
19015726,"cisatracurium"
19016749,"remifentanil"
1730370,"pentamidine"
1749083,"ceftibuten"
43532497,"trametinib"
917006,"benzocaine"
40234201,"butylscopolamine"
19137031,"ispaghula husk"
948856,"polyvinyl alcohol"
1742432,"tigecycline"
19103572,"air"
1105775,"aminophylline"
40174604,"velaglucerase alfa"
1558242,"gemfibrozil"
1103552,"almotriptan"
19047076,"pizotyline"
42800240,"sodium sulfide"
1501617,"colestipol"
45775578,"radium"
1037005,"dronabinol"
1503501,"lanreotide"
732893,"bupivacaine"
925636,"oxymetazoline"
19129635,"opipramol"
1363749,"fosinopril"
19046724,"pirenzepine"
19044727,"vitamin K1"
941472,"terconazole"
42903460,"regorafenib"
19080550,"chromium picolinate"
917205,"desonide"
1584910,"somatropin"
19009145,"mequitazine"
46221581,"insulin isophane"
961145,"glycerin"
1553610,"levocarnitine"
19039262,"brotizolam"
1318137,"nicardipine"
1137529,"salmeterol"
19068900,"mycophenolate"
42904298,"ocriplasmin"
19019131,"magnesium aspartate"
715458,"tiagabine"
1311409,"dacarbazine"
19035569,"calcifediol"
19050461,"prazepam"
19011093,"tenofovir"
45776944,"idelalisib"
1136422,"levocetirizine"
910232,"cyclopentolate"
1517998,"pramlintide"
1322081,"betaxolol"
1329241,"bleomycin"
19079204,"zinc gluconate"
938044,"brinzolamide"
904501,"travoprost"
42900351,"cajuput oil"
1790812,"chlorhexidine"
1116109,"belladonna alkaloids"
19092377,"lysine"
19049228,"estrogens"
19095309,"cholestyramine resin"
1178663,"indomethacin"
1153664,"propoxyphene"
941577,"tetrahydrozoline"
1195492,"etodolac"
19078097,"idarubicin"
903643,"tretinoin"
1309204,"adenosine"
749910,"carisoprodol"
1749008,"cefpodoxime"
1337860,"dopamine"
19072152,"morniflumate"
1351935,"factor IX"
1769389,"nevirapine"
943852,"xylometazoline"
42900505,"linaclotide"
907013,"metolazone"
19058896,"calcium lactate"
19124972,"green tea extract"
990340,"pancrelipase"
19010493,"xipamide"
40171826,"wheat dextrin"
1718054,"caspofungin"
40164052,"asenapine"
988294,"dexpanthenol"
19030087,"alizapride"
1750087,"povidone-iodine"
1311799,"daunorubicin"
1392182,"grape seed extract"
948555,"alosetron"
958527,"belladonna extract, USP"
19042345,"lecithin"
1101703,"homatropine"
19024728,"decitabine"
1369939,"6-aminocaproic acid"
46221435,"panobinostat"
966956,"silver sulfadiazine"
933794,"attapulgite"
1555887,"fluoxymesterone"
950183,"lactase"
981691,"imiquimod"
955252,"fluocinonide"
43013616,"edetate calcium"
914533,"naphazoline"
757627,"galantamine"
716968,"desipramine"
1322199,"eptifibatide"
1333379,"arsenic trioxide"
40168303,"levoleucovorin"
952538,"anthralin"
1789276,"gatifloxacin"
1379969,"interferon alfa-2a"
19018435,"althiazide"
19008336,"vindesine"
19015533,"nomegestrol"
19027080,"potassium bicarbonate"
948490,"polyethylene glycol 400"
19100431,"sultopride"
967562,"loteprednol etabonate"
45775965,"pembrolizumab"
19027015,"dihydrotachysterol"
19028947,"dimethindene"
1304565,"rasburicase"
19020124,"betahistine"
1315286,"nilutamide"
42904283,"tocopheryl nicotinate, D-.alpha."
905371,"methylcellulose"
19049038,"estriol"
954819,"cevimeline"
19089992,"diphenidol"
19015230,"adenosine triphosphate"
1511646,"pamidronate"
923829,"opium"
19092290,"chlormezanone"
19009116,"meprednisone"
1784444,"ivermectin"
19016754,"benzbromarone"
42874246,"icosapent ethyl"
19005129,"clobetasone"
43532424,"lysozyme"
1777417,"rifabutin"
1781733,"atovaquone"
40166571,"bepotastine"
1724700,"foscarnet"
19009705,"lenograstim"
19054821,"clofarabine"
1001419,"cocaine"
1143374,"ephedrine"
1322207,"argatroban"
1800835,"cloxacillin"
19011437,"icodextrin"
19084693,"reboxetine"
705755,"trimipramine"
19011355,"etoricoxib"
980311,"collagenase"
19001311,"epoetin beta"
19081224,"iopamidol"
1796458,"cefdinir"
19048493,"gadobutrol"
19022417,"heroin"
43526404,"gadoterate meglumine"
1305637,"methylergonovine"
1563413,"ritodrine"
739323,"droperidol"
1326115,"oxytocin"
955372,"ethanol"
19078399,"teicoplanin"
916662,"dimethicone"
950056,"povidone"
1348407,"imiglucerase"
902938,"ciclesonide"
740035,"glyceryl"
702865,"meprobamate"
1114375,"anakinra"
19016072,"certoparin"
19020061,"nitrendipine"
1136487,"ropivacaine"
19070224,"soybean oil"
19037596,"acetylcarnitine"
19050610,"salmon oil"
19101786,"ubiquinol"
759740,"pyridostigmine"
1308432,"sargramostim"
19059006,"magnesium glycinate"
1169352,"alpha 1-antitrypsin"
43525871,"cytosine"
44785086,"simeprevir"
1710612,"zidovudine"
1342439,"trandolapril"
19137056,"theobromine"
902950,"tolnaftate"
35604506,"sugammadex"
40239995,"ezogabine"
713192,"fosphenytoin"
19036781,"calcium chloride"
902251,"hypromellose"
1307515,"urokinase"
923540,"phenol"
40238052,"vandetanib"
43013171,"teduglutide"
910888,"cysteamine"
19003296,"tolperisone"
752276,"procyclidine"
46221255,"ferric pyrophosphate"
959362,"gentian violet"
1836948,"tetracycline"
711714,"dantrolene"
528323,"hepatitis B surface antigen vaccine"
1118117,"naratriptan"
43532299,"dabrafenib"
1196514,"flunisolide"
19129738,"paraffin"
19052489,"alanine"
42709318,"tocopherol"
951279,"prilocaine"
42900401,"bosutinib"
905151,"alclometasone"
19005061,"ziconotide"
19030493,"bromhexine"
19024249,"clodronic acid"
1521369,"norethindrone"
19007977,"lormetazepam"
19014341,"atracurium"
19070251,"spiramycin"
19078219,"sufentanil"
19011331,"barium sulfate"
1711246,"entecavir"
1758536,"etravirine"
19007737,"mianserin"
908523,"mineral oil"
908464,"magnesium carbonate"
700253,"thiopental"
19027181,"paraldehyde"
19020021,"nitrazepam"
1378509,"topotecan"
1387426,"folate"
837027,"apomorphine"
19115051,"risedronic acid"
1529331,"acarbose"
1510202,"miglitol"
19033354,"petrolatum"
927478,"pramoxine"
44507700,"vortioxetine"
43560385,"dolutegravir"
1554072,"propylthiouracil"
19092845,"temsirolimus"
958396,"butenafine"
1792515,"chloroquine"
904639,"trichlormethiazide"
915935,"pimecrolimus"
992590,"chlorothiazide"
990028,"lanthanum carbonate"
1729720,"penicillin V"
40241937,"vemurafenib"
1594308,"edaravone"
40225716,"resveratrol"
741530,"orlistat"
19037989,"dothiepin"
1512446,"doxercalciferol"
1505346,"liothyronine"
1517070,"desmopressin"
1503983,"cetrorelix"
35603017,"trabectedin"
1728416,"penicillin G"
35604032,"elotuzumab"
965748,"scopolamine"
724394,"orphenadrine"
1307542,"mexiletine"
19059817,"pyridoxal"
1310756,"moexipril"
19136041,"antilymphocyte immunoglobulin"
19002431,"tilidine"
19091430,"idursulfase"
19088079,"pantothenate"
1729323,"adefovir"
19086100,"mizolastine"
1156378,"flurbiprofen"
19136097,"Bifidobacterium infantis"
956653,"fosfomycin"
40129571,"fexofenadine / pseudoephedrine ER Oral"
750119,"ethosuximide"
1361281,"polaprezinc"
987153,"Lactobacillus acidophilus"
19089579,"difluprednate"
19049145,"celiprolol"
19026343,"danaparoid"
735850,"disulfiram"
