"outcome_concept_id","pt"
36718569,"Poor quality sleep"
36009776,"Seasonal allergy"
35708202,"Nausea"
36718317,"Loss of consciousness"
36416540,"Weight fluctuation"
36516761,"Bone pain"
35205036,"Presyncope"
36110697,"Nasopharyngitis"
36315269,"Body temperature"
37219909,"Productive cough"
36110570,"Respiratory tract infection"
35809342,"No therapeutic response"
36312852,"Blood count abnormal"
36110026,"Cellulitis"
36313584,"Hepatic enzyme decreased"
36416518,"Increased appetite"
36315381,"Weight increased"
36211222,"Subdural haematoma"
35227885,"Peripheral swelling"
36919127,"Drug abuse"
36718323,"Sopor"
36718301,"Confusional state"
36918990,"Hallucination, visual"
36718555,"Insomnia"
36718321,"Somnolence"
35205026,"Dizziness exertional"
35809133,"Hot flush"
37320318,"Rosacea"
36110708,"Sinusitis"
37521981,"Chemotherapy"
36718556,"Middle insomnia"
35707649,"Tooth disorder"
37320268,"Alopecia"
36718179,"Cognitive disorder"
35708132,"Ileus paralytic"
35708151,"Abdominal distension"
36313968,"Laboratory test abnormal"
35809321,"Adverse reaction"
35607485,"Visual impairment"
35808933,"Infusion site infection"
35708164,"Abdominal discomfort"
35809098,"Thirst"
36314114,"Oxygen consumption increased"
35809378,"Fibrosis"
36312070,"Blood pressure decreased"
36110933,"Influenza"
36818631,"Abortion late"
42889409,"Foetal death"
36617162,"Breast cancer"
36211586,"Device misuse"
36918949,"Depressed mood"
36918942,"Depression"
42889379,"Device issue"
36211303,"Injury"
42889673,"Uterine perforation"
36818647,"Foetal distress syndrome"
42889636,"Foetal exposure during pregnancy"
36718014,"Intraventricular haemorrhage neonatal"
42890557,"Low birth weight baby"
36314117,"Oxygen saturation decreased"
37219820,"Pneumonia aspiration"
36110642,"Sepsis"
35406328,"Auricular haematoma"
46276723,"Excessive cerumen production"
36211137,"Wrist fracture"
35205185,"Chest pain"
37521200,"Tooth extraction"
35205037,"Syncope"
35809130,"Flushing"
35406310,"Ear infection"
35205243,"Cardiac failure congestive"
36818823,"Normal newborn"
36110722,"Pyelonephritis"
36009685,"Allergic cough"
37622438,"Blood pressure fluctuation"
37219810,"Wheezing"
35707661,"Dental pulp disorder"
35809353,"Therapeutic response decreased"
35205232,"Fluid overload"
35809236,"Facial pain"
36516765,"Pain in jaw"
36718098,"Trigeminal neuralgia"
37220016,"Nasal disorder"
35809115,"Condition aggravated"
36516961,"Back disorder"
36516907,"Intervertebral disc protrusion"
37019319,"Renal failure acute"
37219867,"Pulmonary arterial hypertension"
37220037,"Sinus disorder"
35205034,"Palpitations"
37019450,"Polyuria"
37622501,"Peripheral vascular disorder"
37622497,"Vein disorder"
36314160,"Blood glucose increased"
36718354,"Disorientation"
36211478,"Drug prescribing error"
36211465,"Incorrect dose administered"
36211481,"Medication error"
37220036,"Sinus congestion"
37220054,"Pharyngeal oedema"
36009711,"Hypersensitivity"
35809328,"Drug ineffective for unapproved indication"
36516818,"Joint swelling"
36919209,"Sleep disorder"
37119650,"Painful erection"
36313524,"Alanine aminotransferase increased"
36313534,"Aspartate aminotransferase increased"
35809329,"Drug intolerance"
35607006,"Eye haemorrhage"
37522220,"Off label use"
36315329,"Ophthalmological examination abnormal"
35607450,"Visual acuity reduced"
36009748,"Reaction to drug excipients"
36416514,"Decreased appetite"
35506609,"Diabetes mellitus"
36516931,"Spinal column stenosis"
37219945,"Respiratory disorder"
35607441,"Blindness"
36009891,"Acute graft versus host disease"
35204996,"Cardiotoxicity"
36009894,"Chronic graft versus host disease"
35708071,"Gastrointestinal toxicity"
35909625,"Hepatotoxicity"
36110552,"Infection"
37219942,"Lung disorder"
36617295,"Malignant neoplasm progression"
35809207,"Mucosal inflammation"
36211179,"Nephropathy toxic"
36211181,"Neurotoxicity"
36211705,"Transplant failure"
37622499,"Venoocclusive disease"
37522364,"Central venous catheterisation"
36211099,"Femur fracture"
35104883,"Neutropenia"
35305505,"Hereditary angioedema"
36918904,"Panic attack"
35708155,"Abdominal pain lower"
35506577,"Amenorrhoea"
37119745,"Vaginal haemorrhage"
35909624,"Hepatocellular injury"
37119701,"Adnexa uteri pain"
36919199,"Dyspareunia"
45886450,"Embedded device"
36617537,"Ovarian cyst"
36818840,"Pregnancy with contraceptive device"
36718141,"Migraine"
37320127,"Skin lesion"
37521192,"Endodontic procedure"
42889398,"Device difficult to use"
35809246,"Post procedural discomfort"
36918861,"Stress"
37119721,"Uterine haemorrhage"
36211385,"Contusion"
36718353,"Crying"
35606946,"Dry eye"
35708691,"Dry throat"
35708692,"Lip dry"
35708606,"Odynophagia"
35708162,"Oesophageal pain"
35708628,"Oropharyngeal pain"
35809104,"Gait disturbance"
35204924,"Arrhythmia"
43053715,"Plasma cell myeloma"
35708106,"Gastrooesophageal reflux disease"
36416695,"Gout"
35809082,"Chills"
35809084,"Feeling cold"
37219871,"Pulmonary embolism"
35707849,"Gastric haemorrhage"
35909518,"Hepatic failure"
35708316,"Oesophageal perforation"
35809221,"Generalised oedema"
35809100,"Abasia"
35809146,"Mobility decreased"
36211272,"Nerve compression"
36718280,"Balance disorder"
36316186,"Drug level increased"
36313984,"Blood cholesterol decreased"
36314072,"Blood triglycerides decreased"
36516848,"Muscle spasms"
36313276,"Red blood cell count decreased"
36313476,"White blood cell count decreased"
36313477,"White blood cell count increased"
36009783,"Urticaria"
36313475,"White blood cell count abnormal"
37320158,"Erythema"
36918869,"Fear"
36313315,"B-lymphocyte count decreased"
36313573,"Gamma-glutamyltransferase increased"
36111000,"Kaposi's sarcoma"
36313371,"Lymphocyte count decreased"
36313161,"Mean platelet volume decreased"
36313402,"Monocyte count decreased"
36313436,"Neutrophil count decreased"
36313467,"T-lymphocyte count decreased"
36009846,"Linear IgA disease"
36516957,"Musculoskeletal pain"
36009833,"Rheumatoid arthritis"
36313697,"Rheumatoid factor increased"
36311779,"Cardiac murmur"
36818728,"Postmature baby"
36110229,"Staphylococcal infection"
36919033,"Bipolar disorder"
37019320,"Renal failure chronic"
36211394,"Subcutaneous haematoma"
36313177,"Platelet count increased"
35708724,"Dysgeusia"
35406309,"Ear haemorrhage"
35204953,"Atrial fibrillation"
37521332,"Tonsillectomy"
36919230,"Completed suicide"
36919234,"Suicidal behaviour"
37219960,"Sneezing"
35809112,"Cold sweat"
36416606,"Dehydration"
35809134,"Hyperhidrosis"
36416638,"Hyperlipidaemia"
35809151,"Night sweats"
36314856,"Bone density decreased"
37522270,"Surgery"
36313176,"Platelet count decreased"
37622465,"Deep vein thrombosis"
35104812,"Splenomegaly"
36718526,"Convulsion"
36718433,"Speech disorder"
35205181,"Angina pectoris"
35204904,"Atrioventricular block first degree"
35809320,"Adverse event"
36718395,"Hypoaesthesia"
37521144,"Transfusion"
36211461,"Drug administration error"
36516955,"Musculoskeletal chest pain"
36311983,"Heart rate increased"
36211464,"Inappropriate schedule of drug administration"
36211469,"Incorrect route of drug administration"
36918984,"Hallucination"
36718218,"Tardive dyskinesia"
36919117,"Mental disorder"
35809319,"Adverse drug reaction"
37219850,"Acute respiratory distress syndrome"
35809148,"Multi-organ failure"
36211383,"Blister"
35808854,"Catheter site inflammation"
36316381,"Blood potassium decreased"
35708100,"Constipation"
35506797,"Hypothyroidism"
35809142,"Local swelling"
35708156,"Abdominal pain upper"
36718510,"Grand mal convulsion"
35506790,"Hyperthyroidism"
35809071,"No adverse event"
36416532,"Malnutrition"
36718111,"Multiple sclerosis"
36617157,"Fibroadenoma of breast"
35809040,"Hyperthermia malignant"
36617300,"Neoplasm malignant"
35205209,"Endocarditis staphylococcal"
36009847,"Nephrogenic systemic fibrosis"
35506622,"Type 2 diabetes mellitus"
37622518,"Haemorrhage"
37320096,"Skin atrophy"
35708597,"Oral herpes"
36919098,"Abnormal behaviour"
36313437,"Neutrophil count increased"
37522181,"Hospitalisation"
36211103,"Lower limb fracture"
43562866,"Medication residue present"
36110466,"Osteomyelitis"
36110248,"Erysipelas"
35205305,"Atrial septal defect"
35204912,"Bundle branch block right"
35204948,"Tachycardia"
35707732,"Pancreatic disorder"
37320312,"Hair growth abnormal"
37320122,"Skin disorder"
36718171,"Amnesia"
36313985,"Blood cholesterol increased"
43053907,"Exposure to contaminated water"
36110047,"Lower respiratory tract infection bacterial"
36110591,"Lung infection"
37219838,"Organising pneumonia"
37320205,"Psoriasis"
36110075,"Urinary tract infection bacterial"
36211462,"Drug dose omission"
35809077,"Lethargy"
35809323,"Drug effect decreased"
37420551,"Wheelchair user"
35809120,"Disease progression"
36718199,"Dyskinesia"
36718211,"Movement disorder"
36516973,"Musculoskeletal stiffness"
35607313,"Abnormal sensation in eye"
35406320,"Ear pruritus"
43562700,"Ear swelling"
35406391,"Tinnitus"
37219997,"Reflux laryngitis"
35708363,"Coeliac disease"
35808880,"Implant site erythema"
35808902,"Implant site pruritus"
36516779,"Arthritis"
36617245,"Metastasis"
36211375,"Head injury"
36110736,"Urinary tract infection"
37219917,"Increased viscosity of bronchial secretion"
37219925,"Acute respiratory failure"
36110584,"Bronchitis"
36110245,"Bronchitis pneumococcal"
37219804,"Chronic obstructive pulmonary disease"
37521846,"Endotracheal intubation"
35506628,"Hyperglycaemia"
36316182,"Drug level below therapeutic"
36516874,"Trismus"
35707691,"Tooth loss"
37219958,"Rhinalgia"
36776613,"Seizure"
43053802,"Implant site bruising"
35808891,"Implant site irritation"
36316391,"Blood sodium decreased"
35909445,"Cholelithiasis"
35909493,"Hepatic mass"
35506690,"Inappropriate antidiuretic hormone secretion"
36718169,"Autism"
35305706,"Cleft palate"
35205131,"Fallot's tetralogy"
37219829,"Emphysema"
37320313,"Hair texture abnormal"
36316382,"Blood potassium increased"
36316151,"Antipsychotic drug level above therapeutic"
36316152,"Antipsychotic drug level below therapeutic"
36718298,"Aphasia"
36919221,"Conversion disorder"
35808981,"Injection site haemorrhage"
35809014,"Injection site reaction"
35809139,"Irritability"
36718175,"Memory impairment"
36919236,"Suicide attempt"
35607483,"Vision blurred"
35909509,"Hyperammonaemia"
35607272,"Eye movement disorder"
36718369,"Thinking abnormal"
37219839,"Pulmonary alveolar haemorrhage"
35205259,"Pulmonary oedema"
37219884,"Pulmonary veno-occlusive disease"
37219897,"Respiratory distress"
36516954,"Limb discomfort"
36919040,"Flat affect"
36718182,"Mental impairment"
36918980,"Thought withdrawal"
35305493,"Congenital anomaly"
35205107,"Pulmonary valve stenosis congenital"
36919037,"Affect lability"
36316138,"Anticonvulsant drug level decreased"
36718326,"Central nervous system lesion"
35809369,"Drug withdrawal syndrome"
36718530,"Epilepsy"
35708616,"Lip discolouration"
36313976,"Quality of life decreased"
37320120,"Skin discolouration"
36718540,"Status epilepticus"
36313965,"Investigation"
36313605,"Transaminases increased"
42889466,"Product adhesion issue"
36211475,"Wrong technique in drug usage process"
37521612,"Abortion induced"
36211594,"Medical device complication"
36818844,"Unintended pregnancy"
35406324,"Otorrhoea"
37320311,"Hair disorder"
36416551,"Osteoporosis"
43053904,"Exposure during pregnancy"
36516905,"Intervertebral disc disorder"
36718256,"Parkinson's disease"
42889376,"Device expulsion"
36718320,"Sedation"
35104103,"Bone marrow failure"
36718157,"Dementia Alzheimer's type"
36211102,"Hip fracture"
35707713,"Pancreatitis"
35406369,"Hypoacusis"
37420507,"Activities of daily living impaired"
35104113,"Pancytopenia"
43562833,"Incorrect dosage administered"
35809299,"Product compounding quality issue"
37520602,"Bone graft"
35707682,"Gingival recession"
37520608,"Intramedullary rod insertion"
36416547,"Low turnover osteopathy"
37521199,"Periodontal operation"
36211127,"Rib fracture"
36617948,"Squamous cell carcinoma of skin"
36718399,"Loss of proprioception"
36211368,"Back injury"
35809234,"Discomfort"
35205189,"Myocardial infarction"
35708149,"Faeces pale"
35809087,"Feeling jittery"
36313529,"Ammonia increased"
36516781,"Arthropathy"
36516749,"Osteonecrosis"
36110040,"Gangrene"
43562983,"Therapy change"
36312855,"Full blood count abnormal"
35104123,"Increased tendency to bruise"
35707632,"Tooth infection"
36718363,"Neurological decompensation"
36211477,"Drug dispensing error"
36211512,"Arteriovenous fistula site complication"
37622460,"Thrombosis"
35707930,"Gastroenteritis viral"
35708031,"Peritonitis bacterial"
36110105,"Corynebacterium infection"
36110111,"Enterobacter pneumonia"
35104877,"Febrile neutropenia"
36110550,"Infected cyst"
35708603,"Pharyngitis"
36312074,"Blood pressure diastolic increased"
36311994,"Pulse abnormal"
36919053,"Affective disorder"
36416640,"Carnitine deficiency"
35808853,"Catheter site infection"
36516876,"Muscular weakness"
37219921,"Pulmonary haemorrhage"
35204989,"Cardiac disorder"
35204998,"Cardiovascular disorder"
35909628,"Mixed liver injury"
35708178,"Hypophagia"
35104879,"Granulocytopenia"
35104868,"Leukopenia"
36211675,"Peritoneal dialysis complication"
35708663,"Peritonitis"
35707660,"Toothache"
36416496,"Acidosis"
36211681,"Post procedural haemorrhage"
35707866,"Haematochezia"
36313221,"Haematocrit decreased"
35708584,"Mouth haemorrhage"
36009724,"Stevens-Johnson syndrome"
42890123,"Mycobacterium tuberculosis complex test positive"
35204931,"Cardiac flutter"
35708169,"Bruxism"
36718513,"Dreamy state"
36718418,"Dysarthria"
36718287,"Dysstasia"
36718431,"Repetitive speech"
35406319,"Ear pain"
35809181,"Inflammation"
35104856,"Leukocytosis"
35708709,"Parotid gland enlargement"
35708715,"Parotitis"
35708705,"Salivary hypersecretion"
36919155,"Schizoaffective disorder bipolar type"
36718543,"Abnormal dreams"
36919207,"Nightmare"
37119691,"Testicular swelling"
36110008,"Abscess bacterial"
36517122,"Bursitis"
36516888,"Rhabdomyolysis"
36313983,"Blood cholesterol abnormal"
36314071,"Blood triglycerides abnormal"
36516728,"Bone disorder"
42889372,"Patient-device incompatibility"
36110535,"Abscess limb"
35506494,"Diabetic ketoacidosis"
36110555,"Localised infection"
36313175,"Platelet count abnormal"
36315155,"Intraocular pressure increased"
35707508,"Rectocele"
36718347,"Agitation"
36919036,"Mania"
36918860,"Nervousness"
36918891,"Phobia"
35204966,"Cardiac arrest"
35406306,"Ear congestion"
35708395,"Gastrointestinal stromal tumour"
35708242,"Intestinal obstruction"
35305416,"Cerebrovascular arteriovenous malformation"
42890829,"Peripheral artery thrombosis"
36718060,"Cerebral venous thrombosis"
37622469,"Jugular vein thrombosis"
37521169,"Stem cell transplant"
36313049,"International normalised ratio fluctuation"
36211129,"Clavicle fracture"
36211215,"Concussion"
35708174,"Faecal incontinence"
36718259,"Parkinsonism"
36718449,"Urinary incontinence"
35809126,"Exercise tolerance decreased"
36416559,"Calciphylaxis"
35506493,"Diabetic complication"
35809381,"Impaired healing"
36211325,"Wound"
35707714,"Pancreatitis acute"
36416527,"Failure to thrive"
35707864,"Gastrointestinal haemorrhage"
37521284,"Cautery to nose"
35104236,"Histiocytosis haematophagic"
35204985,"Ventricular tachycardia"
35708270,"Duodenal ulcer"
35708285,"Gastritis erosive"
35707869,"Melaena"
35406392,"Vertigo"
36919050,"Mood altered"
35708153,"Flatulence"
36315645,"Blood urine present"
35809086,"Feeling hot"
35809386,"Mass"
36919148,"Psychotic behaviour"
36110320,"Bronchopulmonary aspergillosis"
36315910,"Smear cervix abnormal"
37522180,"Hospice care"
36718532,"Febrile convulsion"
36110145,"Helicobacter infection"
35707659,"Sensitivity of teeth"
37622442,"Circulatory collapse"
36312573,"Blood lactate dehydrogenase increased"
36313879,"Blood smear test abnormal"
36211328,"Wound haemorrhage"
43053848,"Drug effect incomplete"
35708179,"Incontinence"
36617945,"Skin cancer"
46276591,"Wrong technique in product usage process"
35809110,"Apparent death"
36718382,"Skin burning sensation"
36316184,"Drug level decreased"
36416516,"Eating disorder"
36919048,"Frustration"
35708171,"Dysphagia"
36718207,"Hypokinesia"
36718235,"Paralysis"
35809377,"Withdrawal syndrome"
36110689,"Chronic sinusitis"
36009756,"Anaphylactic reaction"
36718262,"Head titubation"
35809357,"Therapeutic response unexpected"
35708636,"Aphthous stomatitis"
37219831,"Interstitial lung disease"
36211556,"Device malfunction"
35607446,"Blindness unilateral"
42889801,"Amylase increased"
36312648,"Lipase increased"
35707686,"Gingival bleeding"
35707677,"Gingival erythema"
35707678,"Gingival hyperplasia"
42889224,"Gingival inflammation"
35707689,"Gingival pain"
35909635,"Hepatic neoplasm"
37119714,"Endometriosis"
43053808,"Injection site bruising"
35809005,"Injection site pain"
36617553,"Uterine leiomyoma"
35909469,"Cholestasis"
35708238,"Gastrointestinal obstruction"
36718197,"Bradykinesia"
36919019,"Dermatillomania"
35809310,"Drug interaction"
36918902,"Obsessive-compulsive disorder"
35104768,"Metastases to lymph nodes"
36617234,"Metastases to pleura"
42890163,"Second primary malignancy"
36315261,"Body height below normal"
35205145,"Congenital cardiovascular anomaly"
35305921,"Congenital hand malformation"
35306235,"Congenital nose malformation"
35305703,"Congenital oral malformation"
37420515,"Corrective lens user"
35306001,"Dysmorphism"
35305488,"Foetal anticonvulsant syndrome"
36516967,"Growth retardation"
36211306,"Multiple injuries"
36211199,"Paternal drugs affecting foetus"
36818729,"Premature baby"
35707634,"Tooth development disorder"
35204933,"Extrasystoles"
36718288,"Coma"
36110623,"Muscle abscess"
35809153,"Obstruction"
37522263,"Stent placement"
36718401,"Neuralgia"
36517076,"Metastases to bone"
42890501,"Osteonecrosis of jaw"
36316137,"Anticonvulsant drug level below therapeutic"
35708742,"Tongue injury"
35707753,"Appendix disorder"
36919054,"Apathy"
36919149,"Psychotic disorder"
36211071,"Joint dislocation"
37320117,"Scab"
35708642,"Stomatitis"
35809013,"Injection site rash"
37320164,"Rash erythematous"
35707644,"Teeth brittle"
35707651,"Tooth fracture"
35205258,"Pulmonary congestion"
36516895,"Foot deformity"
37119692,"Testicular torsion"
37119545,"Metrorrhagia"
36718373,"Dysaesthesia"
36718112,"Multiple sclerosis relapse"
36617883,"Bronchial carcinoma"
35708083,"Oesophagitis"
35205374,"Pericarditis"
37219822,"Pneumonitis"
36211447,"Radiation pneumonitis"
35708063,"Crohn's disease"
36211473,"Underdose"
35104698,"Polycythaemia"
36211542,"Device breakage"
37019261,"Cystitis haemorrhagic"
36110874,"Cytomegalovirus infection"
37320257,"Acne"
37320109,"Dry skin"
36919103,"Hyperventilation"
37320199,"Rash pruritic"
37320170,"Skin exfoliation"
35708737,"Tongue disorder"
36009703,"Bronchospasm"
37622386,"Aortic dissection"
43053921,"Accidental exposure to product by child"
42889501,"Skin sensitisation"
35809279,"Product packaging quantity issue"
36211459,"Thermal burn"
36313336,"CD4 lymphocytes decreased"
36416644,"Fat redistribution"
36416652,"Lipodystrophy acquired"
36009885,"Multifocal motor neuropathy"
36516840,"Muscle atrophy"
37521618,"Caesarean section"
36818634,"Abortion spontaneous"
36312945,"Blood fibrinogen decreased"
35808800,"Application site erythema"
35808822,"Application site pruritus"
36009735,"Dermatitis contact"
37521101,"Ileectomy"
37622464,"Axillary vein thrombosis"
37622475,"Subclavian vein thrombosis"
36312617,"Foetal heart rate decreased"
36312618,"Foetal heart rate increased"
36211491,"Accidental overdose"
35708044,"Colitis ulcerative"
35606964,"Eye pain"
35607008,"Ocular vascular disorder"
35607418,"Retinal vascular disorder"
35406359,"Deafness"
35406315,"Ear injury"
35707858,"Intestinal haemorrhage"
37521654,"Hysterectomy"
35707868,"Lower gastrointestinal haemorrhage"
37019318,"Renal failure"
36110852,"Adenovirus infection"
36110974,"BK virus infection"
36009895,"Graft versus host disease"
37522012,"Alcohol detoxification"
35809365,"Alcohol withdrawal syndrome"
36416584,"Electrolyte imbalance"
36211088,"Joint injury"
36211305,"Laceration"
37220043,"Pharyngeal erythema"
35809163,"Purulent discharge"
37220061,"Tonsillar hypertrophy"
36110709,"Tonsillitis"
43053794,"Large intestine polyp"
36718355,"Drooling"
35707692,"Diverticulum"
42889463,"Product physical issue"
37219954,"Nasal discomfort"
36315620,"Renal function test abnormal"
36312568,"Blood alkaline phosphatase increased"
36311946,"Electrocardiogram abnormal"
35205324,"Left ventricular dysfunction"
35204960,"Sinus tachycardia"
35205000,"Foetal cardiac disorder"
37119548,"Menorrhagia"
35606950,"Lacrimation increased"
36617934,"Basal cell carcinoma"
35104738,"Lymph node pain"
36617206,"Seborrhoeic keratosis"
35708159,"Abdominal tenderness"
35708623,"Oral mucosal erythema"
35708607,"Oral pain"
35104125,"Petechiae"
35205180,"Acute myocardial infarction"
35808970,"Injection site discolouration"
35809011,"Injection site pruritus"
35808924,"Infusion site erythema"
35606961,"Eye disorder"
37420588,"Treatment noncompliance"
36313741,"Prostatic specific antigen increased"
37219893,"Respiratory arrest"
36009737,"Drug eruption"
35708130,"Oropharyngeal spasm"
36718214,"Psychomotor hyperactivity"
35809094,"Sensation of foreign body"
35708379,"Gastric cancer"
35909492,"Hepatic lesion"
45885570,"Product use issue"
36718362,"Myoclonus"
42890512,"Seizure like phenomena"
37320161,"Generalised erythema"
35506587,"Menstruation irregular"
35506586,"Menstruation delayed"
37320265,"Dermatitis acneiform"
36718503,"Peripheral sensory neuropathy"
36211449,"Radiation skin injury"
37320124,"Skin fissures"
36009723,"Skin reaction"
35809138,"Influenza like illness"
36718067,"Transient ischaemic attack"
36211320,"Traumatic haematoma"
42890655,"Psychological trauma"
36617309,"Neoplasm progression"
35104119,"Ecchymosis"
36416542,"Weight loss poor"
35104177,"Thrombotic microangiopathy"
37119607,"Benign prostatic hyperplasia"
36312385,"Blood testosterone free decreased"
36919128,"Drug dependence"
36919183,"Erectile dysfunction"
35909578,"Hepatitis C"
36919202,"Sexual dysfunction"
36312503,"Tri-iodothyronine uptake increased"
37019274,"Urinary tract obstruction"
42889129,"Vitreous floaters"
37219916,"Increased bronchial secretion"
37521157,"Bone marrow transplant"
35808914,"Infusion related reaction"
35305718,"Macroglossia"
37320154,"Skin irritation"
36718589,"Neurogenic bladder"
36818833,"Pregnancy"
35708553,"Chapped lips"
36718314,"Consciousness fluctuating"
35708564,"Lip swelling"
36211312,"Scar"
36211463,"Expired drug administered"
36516757,"Spinal disorder"
36312331,"Blood prolactin increased"
37119473,"Breast enlargement"
35506663,"Galactorrhoea"
36617620,"Ovarian germ cell cancer stage II"
36211098,"Femoral neck fracture"
36516824,"Osteoarthritis"
35606824,"Cataract"
35606985,"Glaucoma"
36314365,"Vitamin D decreased"
36311923,"Electrocardiogram QT prolonged"
36211492,"Intentional overdose"
36718368,"Restlessness"
35909506,"Traumatic liver injury"
36211086,"Haemarthrosis"
42890828,"Embolism arterial"
36211529,"Phlebitis"
37320129,"Skin necrosis"
35809109,"Adhesion"
36009918,"Vasculitis"
37219946,"Respiratory tract congestion"
36918985,"Hallucination, auditory"
36718229,"Hemiparesis"
36918945,"Major depression"
36718244,"Quadriplegia"
36316012,"Pulmonary function test decreased"
36918873,"Fear of death"
37320187,"Rash papular"
36211092,"Limb traumatic amputation"
36211311,"Road traffic accident"
36211101,"Foot fracture"
36211260,"Ligament sprain"
36313674,"Cold agglutinins"
37019426,"Haemoglobinuria"
37521136,"Packed red blood cell transfusion"
35104230,"Pseudolymphoma"
37521178,"Splenectomy"
35104397,"Myelodysplastic syndrome"
37521571,"Intra-uterine contraceptive device insertion"
42889280,"Oral mucosal blistering"
37119613,"Prostatic haemorrhage"
37521795,"Lung transplant"
37219885,"Apnoea"
36111015,"Bronchiolitis"
35205023,"Cyanosis"
35707543,"Inguinal hernia"
37119643,"Oedema genital"
35707547,"Umbilical hernia"
45885779,"Immune thrombocytopenic purpura"
35205268,"Right ventricular failure"
37521159,"Dialysis"
36516842,"Muscle disorder"
35737823,"Chronic gastritis"
36416593,"Hyperkalaemia"
35104070,"Iron deficiency anaemia"
35809111,"Bloody discharge"
37019425,"Haematuria"
37219953,"Increased upper airway secretion"
37019352,"Renal artery thrombosis"
35708560,"Lip blister"
37320141,"Dermatitis"
35506811,"Thyroid neoplasm"
37520826,"Thyroid nodule removal"
37320136,"Swelling face"
36314009,"Low density lipoprotein increased"
35104871,"Lymphopenia"
35406368,"Hearing impaired"
35809313,"Food interaction"
36516836,"Fibromyalgia"
35607370,"Retinal detachment"
35607492,"Visual field defect"
36919129,"Intentional drug misuse"
36311984,"Heart rate irregular"
35607097,"Hordeolum"
42890497,"Bone loss"
36718319,"Postictal state"
36416534,"Obesity"
36312856,"Full blood count decreased"
35809252,"Tenderness"
37019271,"Prostatic obstruction"
37119617,"Prostatic pain"
