indication,indication_concept_id
MATERNAL EXPOSURE TIMING UNSPECIFIED,42889641
BIPOLAR I DISORDER,36919031
NEUROENDOCRINE TUMOUR,35506730
MYELOPROLIFERATIVE DISORDER,35104254
JANUS KINASE 2 MUTATION,42889426
HYPERSENSITIVITY,36009711
MANIA,36919036
GRAND MAL CONVULSION,36718510
ESSENTIAL THROMBOCYTHAEMIA,35104249
CHRONIC MYELOID LEUKAEMIA,35104378
ASTHMA,36009700
SARCOIDOSIS,36009857
PYREXIA,35809054
GASTROINTESTINAL STROMAL TUMOUR,35708395
CONVULSION,36718526
NERVE INJURY,36211273
VENTRICULAR TACHYCARDIA,35204985
HYPERTHYROIDISM,35506790
CONVULSION PROPHYLAXIS,37522052
HYPOKALAEMIA,36416595
ANAESTHESIA,36718386
RENAL FAILURE CHRONIC,37019320
HEPATIC MASS,35909493
CEREBROVASCULAR ACCIDENT,36718005
RENAL ARTERY STENOSIS,37019351
PAIN IN EXTREMITY,36516959
NEPHROGENIC SYSTEMIC FIBROSIS,36009847
METASTATIC RENAL CELL CARCINOMA,36617485
ADRENAL INSUFFICIENCY,35506459
OBSTRUCTIVE AIRWAYS DISORDER,37219807
COLITIS ULCERATIVE,35708044
PERIPHERAL VASCULAR DISORDER,37622501
OESOPHAGITIS,35708083
HYPERCHOLESTEROLAEMIA,36416634
PROPHYLAXIS OF NAUSEA AND VOMITING,37522091
OEDEMA PERIPHERAL,35205236
ADVERSE EVENT,35809320
SUPPLEMENTATION THERAPY,37522268
TRANSPLANT REJECTION,36009901
OFF LABEL USE,37522220
ENDOCARDITIS,35205223
CARDIOVASCULAR EVENT PROPHYLAXIS,37522046
CARDIAC FAILURE,35205240
PSYCHOTIC DISORDER,36919149
MITRAL VALVE STENOSIS,35205097
VITAMIN SUPPLEMENTATION,37522009
PSORIASIS,37320205
PSORIATIC ARTHROPATHY,36516828
PARKINSON'S DISEASE,36718256
SPONDYLITIS,36516830
AFFECTIVE DISORDER,36919053
CYSTIC FIBROSIS,35306246
SCAN BRAIN,36314943
METASTASES TO SPINE,36517082
METASTASES TO CENTRAL NERVOUS SYSTEM,36617219
OBSESSIVE-COMPULSIVE DISORDER,36918902
ACROMEGALY,35506645
COLLAGEN-VASCULAR DISEASE,36516771
IMMUNODEFICIENCY COMMON VARIABLE,36009958
MIXED CONNECTIVE TISSUE DISEASE,36009807
PULMONARY HAEMOSIDEROSIS,36416623
LUNG INFILTRATION,37219834
UPPER RESPIRATORY TRACT CONGESTION,37219964
THYROID CANCER,35506808
CENTRAL NERVOUS SYSTEM LYMPHOMA,35104457
CYSTITIS HAEMORRHAGIC,37019261
AUTOIMMUNE DISORDER,36009799
MYOCARDIAL INFARCTION,35205189
HEPATIC CIRRHOSIS,35909527
DIPLOPIA,35607470
ABSCESS DRAINAGE,37522106
BRONCHOSPASM,36009703
PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER,37522084
PERITONEAL DIALYSIS,37521167
AGORAPHOBIA,36918864
PARENTERAL NUTRITION,37522008
ARTIFICIAL MENOPAUSE,37119535
URINARY INCONTINENCE,36718449
PANCREATITIS CHRONIC,35707716
FRAGILE X SYNDROME,35305475
HEADACHE,36718132
SLEEP DISORDER THERAPY,37522260
PANIC DISORDER,36918905
HAEMORRHAGE,37622518
RENAL FAILURE,37019318
ACUTE MYELOID LEUKAEMIA,35104351
INFECTION PROPHYLAXIS,37522062
DRY EYE,35606946
ANTIFUNGAL PROPHYLAXIS,37522041
GASTROOESOPHAGEAL REFLUX PROPHYLAXIS,37520978
CONSTIPATION,35708100
ATTENTION DEFICIT/HYPERACTIVITY DISORDER,36918918
CARNITINE DEFICIENCY,36416640
NEURALGIA,36718401
MYALGIA,36516837
DYSPEPSIA,35708139
ADVERSE DRUG REACTION,35809319
FLUID OVERLOAD,35205232
HEART RATE,36311980
ANXIOLYTIC THERAPY,37521689
CARDIAC DISORDER,35204989
TUBEROUS SCLEROSIS,35306096
MYELODYSPLASTIC SYNDROME,35104397
THALASSAEMIA,35104275
SCHIZOAFFECTIVE DISORDER BIPOLAR TYPE,36919155
MOOD ALTERED,36919050
LENNOX-GASTAUT SYNDROME,36718535
RHABDOMYOSARCOMA,36517095
NECK PAIN,36516958
SEIZURE,36776613
LIMB INJURY,36211091
LOW DENSITY LIPOPROTEIN INCREASED,36314009
POLYCYTHAEMIA,35104698
SCHIZOAFFECTIVE DISORDER,36919154
MIGRAINE PROPHYLAXIS,37522067
ANKYLOSING SPONDYLITIS,36009797
HAEMORRHAGE PROPHYLAXIS,37522060
AGGRESSION,36919059
ANAEMIA,35104074
PRURITUS,37320197
MENTAL DISORDER,36919117
POLYCYTHAEMIA VERA,35104255
MALIGNANT MELANOMA,36617920
SEASONAL ALLERGY,36009776
HYPERTONIC BLADDER,36718583
RENAL TRANSPLANT,37521745
LYMPHOMA,35104461
NON-HODGKIN'S LYMPHOMA,35104643
JUVENILE MYOCLONIC EPILEPSY,42890508
OVARIAN EPITHELIAL CANCER,36617647
PANCREATIC NEUROENDOCRINE TUMOUR,35506732
PATERNAL DRUGS AFFECTING FOETUS,36211199
CHRONIC SINUSITIS,36110689
BRONCHITIS,36110584
WHEEZING,37219810
JOINT SWELLING,36516818
METASTASES TO BONE,36517076
BREAST CANCER METASTATIC,36617166
VITAMIN B12 DEFICIENCY,36416721
PERNICIOUS ANAEMIA,35104071
BLOOD POTASSIUM DECREASED,36316381
DIABETIC NEUROPATHY,35506521
"ASTROCYTOMA, LOW GRADE",36617343
DEMYELINATION,36718108
VASCULITIS,36009918
CENTRAL NERVOUS SYSTEM LESION,36718326
ATAXIA,35809101
HYPOTENSION,37622449
OESOPHAGEAL SQUAMOUS CELL CARCINOMA,35708522
PROPHYLAXIS AGAINST GRAFT VERSUS HOST DISEASE,37522085
HERPES SIMPLEX,36110915
COLORECTAL CANCER METASTATIC,35708455
NASOPHARYNGITIS,36110697
COLON CANCER,35708417
VULVOVAGINAL MYCOTIC INFECTION,36110408
INFERTILITY FEMALE,37119655
INFANTILE SPASMS,36718534
ACNE,37320257
PNEUMONIA,36110597
CAROTID ARTERY OCCLUSION,36717985
PARTIAL SEIZURES,36718537
TOOTH DISORDER,35707649
CHRONIC HEPATITIS C,42889491
GAIT DISTURBANCE,35809104
DRUG THERAPY,37522151
POLYURIA,37019450
THYROID HORMONE REPLACEMENT THERAPY,37520825
COUGH,37219907
ANALGESIC THERAPY,37521968
BLOOD PRESSURE ABNORMAL,36312064
SKIN COSMETIC PROCEDURE,37521872
SKIN DISORDER,37320122
RHEUMATIC DISORDER,42890575
PROPHYLACTIC CHEMOTHERAPY,37522076
RHINITIS,36110704
SMOKING CESSATION THERAPY,37522261
ARTERIOSCLEROSIS,37622403
ENDOCRINE NEOPLASM MALIGNANT,35506721
TYPE IIA HYPERLIPIDAEMIA,35305820
FEMALE GENITAL OPERATION,37521609
GASTRIC CANCER,35708379
ZINC DEFICIENCY,36416632
ANTIINFLAMMATORY THERAPY,37522116
POST COITAL CONTRACEPTION,37521574
SQUAMOUS CELL CARCINOMA OF HEAD AND NECK,43054019
MANTLE CELL LYMPHOMA,35104532
HYPERURICAEMIA,36416698
HYPERCALCAEMIA,35506742
NUTRITIONAL SUPPLEMENTATION,43054115
HAEMOCHROMATOSIS,35909547
SPLENOMEGALY,35104812
ANDROGENETIC ALOPECIA,35506556
ALOPECIA,37320268
RECTAL CANCER METASTATIC,35708410
B-CELL LYMPHOMA STAGE IV,35104471
CARDIAC ANEURYSM,35205309
CHEST PAIN,35205185
CANCER PAIN,36617316
HIV INFECTION,36009928
HAEMOSTASIS,37521165
ANTICOAGULANT THERAPY,37521153
BLOOD CHOLESTEROL ABNORMAL,36313983
RENAL CELL CARCINOMA,36617495
CYSTIC FIBROSIS LUNG,35306247
NEUROPATHY PERIPHERAL,36718500
PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA,35104283
PERIPHERAL T-CELL LYMPHOMA UNSPECIFIED,35104625
POOR QUALITY SLEEP,36718569
LUNG NEOPLASM MALIGNANT,36617894
POLLAKIURIA,37019401
HEPATIC STEATOSIS,35909612
DIABETES PROPHYLAXIS,37522054
RHINORRHOEA,37219959
RESPIRATORY DISORDER,37219945
CLOSTRIDIUM DIFFICILE INFECTION,43053888
ILL-DEFINED DISORDER,35809136
RESPIRATORY THERAPY,37521844
DEMENTIA ALZHEIMER'S TYPE,36718157
TOOTHACHE,35707660
TOOTH INFECTION,35707632
MEDICAL OBSERVATION,36315318
EMBOLISM,37622455
HEPATIC CANCER,43053871
ANXIETY DISORDER,36918853
RESTLESS LEGS SYNDROME,36516858
ERECTILE DYSFUNCTION,36919183
SLEEP DISORDER,36919209
ESSENTIAL HYPERTENSION,37622528
STAPHYLOCOCCAL INFECTION,36110229
EXTRASYSTOLES,35204933
FAMILIAL POLYCYTHAEMIA,35104696
DYSLIPIDAEMIA,36416641
LYMPHOCYTIC LEUKAEMIA,35104382
GLAUCOMA,35606985
PROGRESSIVE MULTIPLE SCLEROSIS,36718114
HYSTERECTOMY,37521654
TUBULOINTERSTITIAL NEPHRITIS,37019295
CARDIAC VALVE DISEASE,35205077
PREMEDICATION,37522239
COLON CANCER METASTATIC,35708418
RENAL CANCER,36617488
OSTEOARTHRITIS,36516824
OSTEOPENIA,36416550
PREOPERATIVE CARE,37522240
RELAXATION THERAPY,37522250
PROTHROMBIN TIME ABNORMAL,36313089
PROSTATOMEGALY,37119619
SPINAL DISORDER,36516757
BLOOD PRESSURE INCREASED,36312077
GASTRITIS,35708050
VITAMIN D DEFICIENCY,36416706
BRONCHIECTASIS,36110583
ADENOCARCINOMA,36617287
CHEMOTHERAPY,37521981
MACULAR DEGENERATION,35607358
LACRIMATION INCREASED,35606950
NASAL CONGESTION,37220008
TOOTH ABSCESS,35707631
DIARRHOEA,35708093
HEPATITIS C RNA,36314686
HEPATITIS B DNA INCREASED,36314667
HAEMOLYTIC URAEMIC SYNDROME,35104298
CHRONIC GRAFT VERSUS HOST DISEASE,36009894
ANTIDEPRESSANT THERAPY,37521688
MAJOR DEPRESSION,36918945
JOINT INJURY,36211088
HYPERLIPIDAEMIA,36416638
LIVER TRANSPLANT,37521359
NON-HODGKIN'S LYMPHOMA RECURRENT,35104644
PANCREATIC CARCINOMA,35708538
IDIOPATHIC GENERALISED EPILEPSY,42890507
ACQUIRED IMMUNODEFICIENCY SYNDROME,36009925
KAPOSI'S SARCOMA AIDS RELATED,36009947
PANIC ATTACK,36918904
NEGATIVE THOUGHTS,36918955
LOW DENSITY LIPOPROTEIN ABNORMAL,36314007
MENINGITIS BACTERIAL,36110049
HAEMORRHOIDS,35708360
HIV PERIPHERAL NEUROPATHY,36009944
PROTEINURIA,37019440
IMPAIRED HEALING,35809381
HYPERGLYCAEMIA,35506628
GLUCOSE TOLERANCE IMPAIRED,35506624
BENIGN PROSTATIC HYPERPLASIA,37119607
OESOPHAGEAL CARCINOMA,35708519
GUILLAIN-BARRE SYNDROME,36009804
AUTONOMIC NEUROPATHY,36718442
COLITIS,35708038
IMMUNE THROMBOCYTOPENIC PURPURA,45885779
ENTEROCOLITIS HAEMORRHAGIC,35708045
EX-TOBACCO USER,37420590
BODY HEIGHT DECREASED,36315262
THYROID DISORDER,35506777
INFLAMMATION,35809181
DEPRESSED MOOD,36918949
CARDIOVASCULAR DISORDER,35204998
DEEP VEIN THROMBOSIS,37622465
MALARIA PROPHYLAXIS,37522065
INFECTION,36110552
THROMBOPHLEBITIS SUPERFICIAL,37622477
ACUTE PSYCHOSIS,36919145
LEIOMYOSARCOMA,36517055
T-CELL TYPE ACUTE LEUKAEMIA,35104346
BILIARY COLIC,35909409
OVARIAN CANCER,36617644
THROMBOLYSIS,37521170
LEIOMYOSARCOMA METASTATIC,36517056
MYCOSIS FUNGOIDES,35104618
PATENT DUCTUS ARTERIOSUS,35205136
APNOEA NEONATAL,43562697
MENINGITIS TUBERCULOUS,36110774
BLOOD TRIGLYCERIDES INCREASED,36314073
DERMATITIS,37320141
FISTULA,36516986
BRONCHIAL CARCINOMA,36617883
PNEUMONITIS,37219822
WEIGHT DECREASED,36315380
OESOPHAGEAL DISORDER,35707843
DIAGNOSTIC PROCEDURE,36313959
CEREBRAL INFARCTION,36718001
OSTEOPOROTIC FRACTURE,36211075
"SCHIZOPHRENIA, PARANOID TYPE",36919162
CELLULITIS,36110026
PROPHYLAXIS OF NEURAL TUBE DEFECT,37522092
CALCIUM DEFICIENCY,35506749
APLASTIC ANAEMIA,35104101
CARCINOID TUMOUR,35506710
CHOLESTASIS,35909469
INDUCTION OF CERVIX RIPENING,43054067
PORTAL HYPERTENSION,35909564
INFLUENZA,36110933
GANGLIOGLIOMA,43054032
INTERSTITIAL LUNG DISEASE,37219831
POLYCYSTIC OVARIES,35506596
OVULATION INDUCTION,37521605
RIGHT-TO-LEFT CARDIAC SHUNT,46276611
TOXOPLASMOSIS,36110820
SUPRAVENTRICULAR TACHYCARDIA,35204963
SEPTIC SHOCK,36110649
INTERVERTEBRAL DISC PROTRUSION,36516907
PLACENTAL INSUFFICIENCY,36818792
GASTRITIS PROPHYLAXIS,37522058
IMMUNISATION,37522021
NOCTURIA,37019449
TRANSIENT ISCHAEMIC ATTACK,36718067
GASTRIC ULCER,35708278
TRAUMATIC LUNG INJURY,42889650
DYSPNOEA,35205038
GOUT,36416695
BLADDER CANCER,36617459
PROLACTINOMA,35506685
HYPERPROLACTINAEMIA,35506649
HIRSUTISM,35506582
CYTOMEGALOVIRUS INFECTION,36110874
OXYGEN CONSUMPTION DECREASED,36314113
HUNGRY BONE SYNDROME,35506755
NUCLEAR MAGNETIC RESONANCE IMAGING,36313915
ABDOMINAL PAIN UPPER,35708156
B-CELL LYMPHOMA,35104465
DRUG INEFFECTIVE,35809327
SURGERY,37522270
VOMITING,35708208
"SCHIZOPHRENIA, DISORGANISED TYPE",36919161
ELECTROCONVULSIVE THERAPY,37521691
HEPATOCELLULAR CARCINOMA,43053853
PAIN MANAGEMENT,37521970
SARCOMA,36517097
FLATULENCE,35708153
COLORECTAL CANCER,35708425
NEUTROPENIA,35104883
MALIGNANT GLIOMA,36617392
ABDOMINAL PAIN,35708154
LOWER RESPIRATORY TRACT INFECTION,36110589
DIZZINESS,35205025
LOSS OF CONSCIOUSNESS,36718317
HYPERPARATHYROIDISM SECONDARY,35506747
CRANIOCEREBRAL INJURY,42889648
SLE ARTHRITIS,36009821
DRUG DEPENDENCE,36919128
HIATUS HERNIA,35707535
PROSTATIC SPECIFIC ANTIGEN INCREASED,36313741
PROPHYLAXIS AGAINST TRANSPLANT REJECTION,37522089
GLIOBLASTOMA MULTIFORME,36617389
HEPATIC FUNCTION ABNORMAL,35909508
OSTEOSARCOMA,43054174
GESTATIONAL HYPERTENSION,42890556
OSTEOPOROSIS POSTMENOPAUSAL,36416553
POST PROCEDURAL SEPSIS,36110639
STATUS EPILEPTICUS,36718540
AGE-RELATED MACULAR DEGENERATION,42889192
HEART RATE INCREASED,36311983
ANTIRETROVIRAL THERAPY,37521976
METASTASES TO LIVER,35909682
BARRETT'S OESOPHAGUS,35707820
HELICOBACTER INFECTION,36110145
SENILE OSTEOPOROSIS,36416557
NEUROMYELITIS OPTICA,35607141
DIABETIC RETINAL OEDEMA,35506529
BRONCHOPNEUMONIA,36110585
RENAL IMPAIRMENT,37019321
ORAL CANDIDIASIS,35708593
ACUTE LYMPHOCYTIC LEUKAEMIA,35104339
NEPHROGENIC ANAEMIA,35104098
MYOCARDITIS,35205355
NEUTROPENIC SEPSIS,35104887
DIFFUSE LARGE B-CELL LYMPHOMA,35104490
ACCIDENTAL EXPOSURE TO PRODUCT,43053920
RECTAL CANCER,35708409
ATRIAL FLUTTER,35204954
UROSEPSIS,36110651
RASH,37320212
ANDROGEN DEFICIENCY,35506555
VENTRICULAR EXTRASYSTOLES,35204980
PRESYNCOPE,35205036
SPINAL PAIN,42889454
BRONCHITIS CHRONIC,37219801
CARDIAC FAILURE CHRONIC,35205242
ABDOMINAL DISCOMFORT,35708164
MENOPAUSE,37420355
PUSTULAR PSORIASIS,37320206
INTESTINAL OBSTRUCTION,35708242
ASTHMA EXERCISE INDUCED,37219796
METASTATIC CARCINOID TUMOUR,35506727
HASHIMOTO'S ENCEPHALOPATHY,42889132
ORAL HERPES,35708597
POST-TRAUMATIC STRESS DISORDER,36918911
LYMPHOPROLIFERATIVE DISORDER,35104245
NEOPLASM MALIGNANT,36617300
INFLUENZA LIKE ILLNESS,35809138
HAEMOPHILIA,35104145
BREAST CANCER STAGE II,36617169
FABRY'S DISEASE,35305846
OVARIAN ENDOMETRIOID CARCINOMA,43054059
PULMONARY MYCOSIS,36110392
ANTIFUNGAL TREATMENT,37521975
PERIPHERAL ISCHAEMIA,37622433
THYROIDECTOMY,37520829
CHRONIC SPONTANEOUS URTICARIA,42889346
B-CELL LYMPHOMA STAGE III,35104470
SINUS CONGESTION,37220036
CHILLS,35809082
SNORING,37219961
ANAPHYLACTIC REACTION,36009756
MASTOCYTOSIS,35104208
SINUS DISORDER,37220037
STENT PLACEMENT,37522263
BREAKTHROUGH PAIN,35809232
HIP ARTHROPLASTY,37520641
PROCEDURAL PAIN,35809248
PRIMARY HYPOGONADISM,35506565
COAGULOPATHY,35104161
HYPERPHOSPHATAEMIA,36416572
OSTEOMYELITIS,36110466
ISCHAEMIC STROKE,36718016
PERIPHERAL ARTERY THROMBOSIS,42890829
PLATELET COUNT DECREASED,36313176
MENOPAUSAL SYMPTOMS,37119537
FOETAL EXPOSURE DURING PREGNANCY,42889636
METASTASES TO LUNG,36617224
SALIVARY GLAND CANCER,35708496
BOWEL MOVEMENT IRREGULARITY,35708115
SCAN MYOCARDIAL PERFUSION,36311893
LUNG ADENOCARCINOMA,36617821
ACUTE GRAFT VERSUS HOST DISEASE,36009891
ADENOCARCINOMA OF COLON,43053819
JUVENILE IDIOPATHIC ARTHRITIS,43053882
SKIN LESION,37320127
BREAST MASS,37119476
LARYNGEAL CANCER,36617792
NEPHROGENIC DIABETES INSIPIDUS,36416578
INSULIN RESISTANCE,35506632
PROSTHESIS IMPLANTATION,37522244
FUNGAL INFECTION,36110369
FLUID RETENTION,36416610
PREMENSTRUAL SYNDROME,36919051
MUCOPOLYSACCHARIDOSIS VI,35305861
GASTROENTERITIS VIRAL,35707930
SNEEZING,37219960
SECONDARY IMMUNODEFICIENCY,36009955
MICTURITION URGENCY,37019399
PRIMARY IMMUNODEFICIENCY SYNDROME,35305744
EPSTEIN-BARR VIRUS INFECTION,36110888
BRUTON'S AGAMMAGLOBULINAEMIA,35305738
MUSCULOSKELETAL PAIN,36516957
GRAFT VERSUS HOST DISEASE IN LIVER,42889496
NERVOUS SYSTEM DISORDER,36718338
HORMONE REPLACEMENT THERAPY,37520795
ANAL CANCER,35708401
OVARIAN CANCER RECURRENT,36617646
CERVIX CARCINOMA,36617565
HYPOPARATHYROIDISM,35506751
ROUTINE HEALTH MAINTENANCE,37522095
DIURETIC THERAPY,37522146
PITUITARY-DEPENDENT CUSHING'S SYNDROME,35506651
OEDEMA DUE TO CARDIAC DISEASE,35205008
DEHYDRATION,36416606
BONE MARROW CONDITIONING REGIMEN,37521155
BLOOD TESTOSTERONE DECREASED,36312382
GLYCOGEN STORAGE DISEASE TYPE II,35205279
URINARY TRACT INFECTION,36110736
HYPOVITAMINOSIS,36416712
RHINITIS ALLERGIC,36009773
PANCREATIC INSUFFICIENCY,35707741
IMMUNE ENHANCEMENT THERAPY,37522185
ACUTE TONSILLITIS,36110688
ROSACEA,37320318
EXTERNAL EAR INFLAMMATION,35406346
INFLUENZA IMMUNISATION,37522022
FATIGUE,35809076
DRUG TOXICITY PROPHYLAXIS,37522055
UVEITIS,35607078
CATARACT OPERATION,37520888
NEOADJUVANT THERAPY,43054000
NEUTROPHIL COUNT INCREASED,36313437
ANTIVIRAL PROPHYLAXIS,37522042
ANTIBIOTIC PROPHYLAXIS,37522040
METASTATIC MALIGNANT MELANOMA,36617927
CARDIAC PACEMAKER INSERTION,37520719
FAECES HARD,35708148
SCLERODERMA ASSOCIATED DIGITAL ULCER,43053883
FEMALE STERILISATION,37521568
EXTERNAL EAR CELLULITIS,35406345
NEPHROLITHIASIS,37019456
RENAL MASS,37019310
ANAEMIA OF CHRONIC DISEASE,35104096
POST HERPETIC NEURALGIA,36109991
LUNG TRANSPLANT,37521795
MINERAL SUPPLEMENTATION,37522006
ANTACID THERAPY,37520963
RENAL DISORDER,37019308
ANTIOXIDANT THERAPY,37522117
BLOOD CALCIUM,36316341
STEROID THERAPY,37520805
INFLAMMATORY BOWEL DISEASE,35708073
LUNG INFECTION,36110591
THYROID CANCER METASTATIC,35506809
HOT FLUSH,35809133
PRECANCEROUS SKIN LESION,37320100
ACTINIC KERATOSIS,37320098
BLOOD CHOLESTEROL DECREASED,36313984
STRESS URINARY INCONTINENCE,37019404
CARDIAC SEPTAL DEFECT,35205313
PRECANCEROUS CELLS PRESENT,36313975
DERMATITIS ATOPIC,36009768
VENTRICULAR FIBRILLATION,35204981
SEDATION,36718320
DIASTOLIC DYSFUNCTION,35205317
ANTIPLATELET THERAPY,37521154
ANGIOPATHY,37622481
SJOGREN'S SYNDROME,35606954
WOUND,36211325
HERPES VIRUS INFECTION,36110917
URETERAL DISORDER,37019364
ATRIAL SEPTAL DEFECT,35205305
CHRONIC KIDNEY DISEASE,37080795
BONE DENSITY ABNORMAL,36314855
AMNESIA,36718171
URINARY TRACT INFECTION BACTERIAL,36110075
CHRONIC GRANULOMATOUS DISEASE,35104890
SEXUAL DYSFUNCTION,36919202
INTENTIONAL OVERDOSE,36211492
HODGKIN'S DISEASE,35104405
CHAPPED LIPS,35708553
ACTH STIMULATION TEST,36312141
GENITAL HERPES,36110911
LUNG ADENOCARCINOMA METASTATIC,36617822
DEMENTIA WITH LEWY BODIES,36718164
DYSMENORRHOEA,37119542
POSTPARTUM DEPRESSION,36818810
ANDROGEN REPLACEMENT THERAPY,37520787
NERVE COMPRESSION,36211272
SIDEROBLASTIC ANAEMIA,35104094
INDUCTION AND MAINTENANCE OF ANAESTHESIA,37521955
PULMONARY ARTERY WALL HYPERTROPHY,35205267
ANAEMIA PROPHYLAXIS,37522038
PARKINSONISM,36718259
HYPERTONIA,36516863
ULCER,35809406
ADDISON'S DISEASE,35506457
HUNTINGTON'S DISEASE,42889082
BLADDER DISORDER,37019238
PREMATURE MENOPAUSE,35506597
TESTICULAR FAILURE,35506604
SINUSITIS,36110708
DIABETIC NEPHROPATHY,35506537
MUSCLE SPASTICITY,36516868
SMALL CELL LUNG CANCER,43054102
HIGH FREQUENCY ABLATION,37522178
DENTAL CARIES,35707625
CHEST DISCOMFORT,35205184
POLYNEUROPATHY,36718463
OROPHARYNGEAL DISCOMFORT,35708627
DERMATITIS DIAPER,37320142
ANTITUSSIVE THERAPY,37521783
ANGIOSARCOMA,36617255
H1N1 INFLUENZA,42889605
ANAESTHESIA REVERSAL,37521948
B PRECURSOR TYPE ACUTE LEUKAEMIA,35104342
RENAL CANCER METASTATIC,36617489
INVASIVE DUCTAL BREAST CARCINOMA,43054193
HERPES ZOSTER,36110918
MATERNAL THERAPY TO ENHANCE FOETAL LUNG MATURITY,37521626
MUSCULAR WEAKNESS,36516876
HYDROCEPHALUS,36718146
TRIGEMINAL NEURALGIA,36718098
OCCUPATIONAL EXPOSURE TO PRODUCT,43053908
ECHOCARDIOGRAM,36311819
PALLIATIVE CARE,37522224
BACTERIAL INFECTION,36110015
INDUCTION OF ANAESTHESIA,37521956
BRAIN NEOPLASM MALIGNANT,36617375
CORONARY ARTERY OCCLUSION,35205168
IMMUNODEFICIENCY,36009951
COMPUTERISED TOMOGRAM,36313902
INCONTINENCE,35708179
MYCOBACTERIUM ABSCESSUS INFECTION,36110750
