drug_name,drug_concept_id,N
avapritinib,37498468,6135
bleomycin,1329241,6056
radium,45775578,5901
telotristat ethyl,1592541,5802
methylprednisolone,1506270,5698
goserelin,1366310,5676
procarbazine,1351779,5667
encorafenib,1559914,5638
afatinib,43533090,5627
blinatumomab,45892531,5525
selinexor,1361191,5415
octreotide,1522957,5389
alectinib,35604657,5361
lanreotide,1503501,5177
acalabrutinib,792764,5072
polatuzumab vedotin,1396729,4983
idarubicin,19078097,4891
binimetinib,1559930,4888
bosutinib,42900401,4835
levoleucovorin,40168303,4747
relugolix,739471,4690
axicabtagene ciloleucel,792844,4563
eribulin,40230712,4543
hydrocortisone,975125,4532
vinblastine,19008264,4502
filgrastim,1304850,4499
dacarbazine,1311409,4399
ramucirumab,44818489,4398
gefitinib,1319193,4360
sipuleucel-T,40224095,4306
alpelisib,1396423,4292
oxycodone,1124957,4257
mitoxantrone,1309188,3905
hydroxyurea,1377141,3898
placebo,19047135,3881
panitumumab,19100985,3859
topotecan,1378509,3838
bicalutamide,1344381,3741
apalutamide,963987,3713
fentanyl,1154029,3603
tucatinib,1145571,3421
mesna,1354698,3309
cobimetinib,35605804,3299
busulfan,1333357,3298
tisagenlecleucel,792737,3156
aflibercept,40244266,3145
isatuximab,37498969,3086
elotuzumab,35604032,3063
degarelix,19058410,3053
decitabine,19024728,2933
tremelimumab,741851,2862
dactinomycin,1311443,2858
enasidenib,793797,2722
gilteritinib,1355513,2717
carmustine,1350066,2683
avelumab,1593273,2640
ofatumumab,40167582,2626
chlorambucil,1390051,2532
mechlorethamine,1394337,2448
cabazitaxel,40222431,2444
sacituzumab,1145484,2434
ceritinib,44818466,2329
brigatinib,1594187,2303
ripretinib,1145752,2232
deferasirox,1786055,2209
thiotepa,19137385,2198
acetaminophen,1125315,2187
brexpiprazole,46275300,2175
midostaurin,1594003,2138
allopurinol,1167322,2073
enfortumab,37498261,2068
tretinoin,903643,2031
thioguanine,1437379,2028
nintedanib,45775396,2012
lorlatinib,35201733,2011
trabectedin,35603017,2005
triptorelin,1343039,1884
darbepoetin alfa,1304643,1852
morphine,1110410,1835
vindesine,19008336,1813
neratinib,793846,1712
temsirolimus,19092845,1707
inotuzumab ozogamicin,794068,1683
alemtuzumab,1312706,1630
levothyroxine,1501700,1613
panobinostat,46221435,1592
ondansetron,1000560,1525
vorinostat,1337651,1520
belantamab mafodotin,37002419,1517
gemtuzumab ozogamicin,42799711,1512
mitomycin,1389036,1505
pirarubicin,19093366,1496
cemiplimab,35200783,1462
clofarabine,19054821,1438
vandetanib,40238052,1402
lomustine,1391846,1393
pacritinib,779180,1358
sotorasib,1536963,1333
sodium chloride,967823,1321
celecoxib,1118084,1317
capmatinib,1145637,1312
ranitidine,961047,1259
ivosidenib,1560123,1250
tafasitamab,37002368,1249
interferon alfa-2b,1380068,1231
epcoritamab,1201211,1220
zanubrutinib,37497691,1210
tivozanib,36026750,1181
aspirin,1112807,1174
BCG,19086176,1148
romidepsin,40168385,1108
tazemetostat,37498602,1080
mogamulizumab,35200202,1071
darolutamide,1361291,1055
methadone,1103640,1051
cabergoline,1558471,1047
ropeginterferon alfa-2b,702407,1033
cyclosporine,19010482,1019
eltrombopag,19012346,987
cladribine,19054825,985
anagrelide,1381253,982
arsenic trioxide,1333379,955
fedratinib,1361614,950
pregabalin,734354,942
acyclovir,1703687,930
mitotane,1309161,926
tegafur,19056756,910
herpesvirus 1,42903942,905
peginterferon alfa-2a,1714165,897
dotatate,36249974,889
imiquimod,981691,886
teclistamab,741578,878
pralsetinib,37002765,875
entrectinib,37496447,870
immunoglobulin G,19117912,810
ingenol mebutate,42709320,787
ibandronate,1512480,787
omacetaxine mepesuccinate,19069046,779
tramadol,1103314,771
talazoparib,35201068,770
amylase,919204,756
asciminib,702133,752
tamsulosin,924566,737
doxycycline,1738521,729
ibritumomab tiuxetan,19068830,727
pamidronate,1511646,721
hyaluronidase,19073699,715
hydromorphone,1126658,705
nelarabine,19002912,704
folic acid,19111620,703
larotrectinib,1355705,703
sirolimus,19034726,699
selumetinib,37499520,698
brexucabtagene autoleucel,37002369,688
aprepitant,936748,674
aldesleukin,1309770,663
pexidartinib,1361445,659
duvelisib,35200763,637
epoetin alfa,1301125,636
belzutifan,701696,636
dexrazoxane,1353011,620
tocilizumab,40171288,611
copanlisib,792499,607
omeprazole,923645,597
metoclopramide,906780,595
cedazuridine / decitabine Oral,1146672,593
amivantamab,1536935,589
mobocertinib,701915,573
palonosetron,911354,568
bexarotene,1389888,566
dostarlimab,1536789,559
rasburicase,1304565,551
granisetron,1000772,549
luspatercept,37497705,544
acetate,19029306,543
tacrolimus,950637,542
idecabtagene vicleucel,36026868,539
dinutuximab,46221699,533
sonidegib,46275491,532
chlorpheniramine,1192710,520
cytosine,43525871,510
glofitamab,1201501,510
furosemide,956874,502
selpercatinib,1145791,501
mosunetuzumab,1301307,496
peginterferon alfa-2b,1797155,492
lurbinectedin,1146139,485
vipivotide tetraxetan,779271,480
olaratumab,1718346,478
raltitrexed,19038536,476
pemigatinib,37499576,474
loxoprofen,19071936,469
canakinumab,40161669,459
valacyclovir,1717704,447
pralatrexate,40166461,445
levetiracetam,711584,444
gabapentin,797399,443
glasdegib,1355795,434
tapentadol,19026459,427
mycophenolate mofetil,19003999,415
valproate,745466,415
isotretinoin,984232,405
glucose,1560524,398
lisocabtagene maraleucel,739856,387
ixabepilone,19025348,377
dacomitinib,35200803,373
ciltacabtagene autoleucel,779144,373
teniposide,19136750,372
pasireotide,43012417,367
sargramostim,1308432,367
diphenhydramine,1129625,364
amsacrine,19017810,355
flutamide,1356461,354
erdafitinib,1511250,350
pentostatin,19031224,338
interferon alfa-2a,1379969,337
adagrasib,1301337,337
metformin,1503297,325
somatropin,1584910,320
estramustine,1349025,318
diclofenac,1124300,310
necitumumab,35606215,308
dexchlorpheniramine,1188114,299
voriconazole,1714277,297
tepotinib,739739,297
naproxen,1115008,296
platinum,42900468,295
megestrol,1300978,294
toripalimab,747052,291
betamethasone,920458,284
bromocriptine,730548,282
esomeprazole,904453,275
enoxaparin,1301025,275
lenograstim,19009705,270
aclarubicin,19057483,263
umbralisib,739804,261
hydroxychloroquine,1777087,257
pantoprazole,948078,253
salicylic acid,964407,248
lidocaine,989878,246
lansoprazole,929887,241
azathioprine,19014878,241
toremifene,1342346,239
plerixafor,19017581,238
deferiprone,19011091,236
finasteride,996416,234
elranatamab,746391,232
famotidine,953076,228
cyproterone,19010792,227
amlodipine,1332418,226
ibuprofen,1177480,224
uracil,19006877,223
clarithromycin,1750500,221
trimethoprim,1705674,221
posaconazole,1704139,219
tisotumab,701957,217
dutasteride,989482,213
fenofibrate,1551803,213
fluconazole,1754994,212
levofloxacin,1742253,210
fosaprepitant,35605594,209
infliximab,937368,206
gadobutrol,19048493,204
ganciclovir,1757803,204
dipyrone,19031397,202
pegvisomant,1503432,201
streptozocin,19136210,199
calcium,19018544,194
dupilumab,1593467,194
lorazepam,791967,193
belinostat,45776670,193
aripiprazole,757688,191
spironolactone,970250,189
apixaban,43013024,189
immunoglobulin A,43531966,184
acitretin,929638,183
ciprofloxacin,1797513,182
clodronic acid,19024249,179
TMP / SMX Inj,40220482,178
isavuconazonium,46221284,176
medroxyprogesterone,1500211,173
tiotropium,1106776,172
atorvastatin,1545958,172
vancomycin,1707687,167
rivaroxaban,40241331,166
loperamide,991876,166
relatlimab,779239,166
raloxifene,1513103,164
alendronate,1557272,163
treosulfan,19042545,161
testosterone,1636780,160
loncastuximab tesirine,1536834,160
talquetamab,746340,160
lutetium,44816340,159
ketoconazole,985708,158
febuxostat,19017742,158
amitriptyline,710062,158
3-iodobenzylguanidine,19019942,157
dexamethasone / sodium phosphate Inj,40027461,157
albuterol,1154343,156
duloxetine,715259,156
ursodeoxycholate,988095,150
omalizumab,1110942,150
calaspargase pegol,1510939,150
romiplostim,19032407,148
cholecalciferol,19095164,146
meloxicam,1150345,142
codeine,1201620,137
buprenorphine,1133201,137
gonadorelin,19089810,137
etanercept,1151789,135
clemastine,1197677,134
potassium,19049024,133
lymphocyte immune globulin,19136207,132
tebentafusp,1758886,132
simvastatin,1539403,130
valganciclovir,1703063,130
cetirizine,1149196,130
budesonide,939259,129
mirvetuximab soravtansine,741947,129
apremilast,44816294,126
vitamin D,19009405,125
sodium bicarbonate,939506,125
potassium chloride,19049105,125
cinacalcet,1548111,124
amphotericin B,1717240,123
methenolone,19004621,123
domperidone,19037833,122
hydrocodone,1174888,121
atropine,914335,121
baclofen,715233,119
micafungin,19018013,119
heparin,1367571,119
pioglitazone,1525215,118
metronidazole,1707164,115
prochlorperazine,752061,114
naxitamab,739531,113
triamcinolone,903963,112
ketoprofen,1185922,112
magnesium oxide,993631,111
mycophenolate,19068900,110
montelukast,1154161,110
anakinra,1114375,109
eculizumab,19080458,109
diazepam,723013,108
pirtobrutinib,1301683,108
alfacalcidol,19014202,107
doxazosin,1363053,107
alfuzosin,930021,106
meropenem,1709170,106
pirfenidone,45775206,105
ketamine,785649,102
levonorgestrel,1589505,102
metoprolol,1307046,102
fostamatinib,1510328,102
mannitol,994058,101
cortisone,1507705,100
adalimumab,1119119,99
netupitant,45774966,99
cedazuridine,1146666,99
dihematoporphyrin ether,19089602,98
rolapitant,46287434,98
caspofungin,1718054,97
ublituximab,1301397,96
calcium carbonate,19035704,95
olanzapine,785788,94
cromolyn,1152631,93
histrelin,1366773,93
tofacitinib,42904205,93
vitamin B12,1308738,92
bendroflumethiazide,1316354,92
cytarabine / daunorubicin Inj,37499291,92
trofosfamide,19101677,91
fruquintinib,747237,91
daptomycin,1786617,90
itraconazole,1703653,89
carbamazepine,740275,89
clonazepam,798874,88
ascorbic acid,19011773,88
vitamin D3,42709324,87
clobetasol,998415,87
aminolevulinic acid,904351,86
midazolam,708298,85
dextromethorphan,1119510,85
thyrotropin alfa,19063297,85
ceftriaxone,1777806,84
silodosin,19012925,84
phenytoin,740910,84
ambrisentan,1337068,83
azithromycin,1734104,83
dantrolene,711714,81
etoricoxib,19011355,80
valrubicin,19012543,80
floxuridine,1355509,79
elacestrant,1301646,79
tegafur / uracil Oral,40091379,77
sodium fluoride,19069022,77
etodolac,1195492,76
trifluridine,905078,76
mifepristone,1508439,75
clopidogrel,1322184,75
warfarin,1310149,75
yttrium,44816338,74
melphalan flufenamide,740067,74
ethinyl estradiol,1549786,73
denileukin diftitox,19051642,73
deferoxamine,1711947,72
methoxsalen,905223,72
sildenafil,1316262,72
retifanlimab,1302024,72
estradiol,1548195,71
futibatinib,1301597,71
pravastatin,1551860,69
dalteparin,1301065,69
zidovudine,1710612,69
rabeprazole,911735,68
lamivudine,1704183,68
belumosudil,701423,68
clonidine,1398937,67
danazol,1511449,67
infigratinib,1536975,67
quizartinib,746225,66
iodine,1780601,65
gadolinium,42899255,64
loratadine,1107830,64
lisinopril,1308216,64
lipegfilgrastim,44506753,64
isavuconazole,35606695,63
ribavirin,1762711,62
diazoxide,1523280,62
propranolol,1353766,61
entecavir,1711246,61
fexofenadine,1153428,61
olutasidenib,742050,61
sodium iodide,19069873,60
cimetidine,997276,60
mycophenolic acid,19012565,59
cefazolin,1771162,59
acetaminophen / oxycodone ER Oral,44814284,58
amifostine,1350040,58
rosuvastatin,1510813,58
rifaximin,1735947,58
moxetumomab pasudotox,35200995,58
gozetotide,1758656,58
water,19010309,57
tadalafil,1336926,56
tranexamic acid,1303425,55
promethazine,1153013,54
hydroxyzine,777221,53
zolpidem,744740,53
siltuximab,44818461,53
magnesium,19124906,52
menatetrenone,19072027,52
arsenic,19010961,52
uridine triacetate,46287389,52
cefepime,1748975,51
mirabegron,42873636,51
ipratropium,1112921,51
polyethylene glycol 3350,986417,51
mirtazapine,725131,51
solifenacin,916005,50
margetuximab,739518,50
fluticasone,1149380,49
risperidone,735979,49
estrogens,1549080,49
amoxicillin,1713332,49
bupivacaine,732893,49
ambroxol,19088167,49
teduglutide,43013171,49
cidofovir,1745072,48
alprazolam,781039,47
losartan,1367500,47
haloperidol,766529,47
acetaminophen / hydrocodone Oral,40002705,47
interferon gamma-1b,1380191,47
tagraxofusp,1356361,47
mupirocin,951511,46
epinephrine,1343916,46
pancrelipase,990340,46
abatacept,1186087,46
calcium carbonate / cholecalciferol ER Oral,40154630,46
venlafaxine,743670,45
cefuroxime,1778162,45
carbazochrome,19024535,45
minocycline,1708880,44
metyrapone,19007490,44
ethiodized oil,19050016,44
carbocysteine,19041843,43
pip / tazo Inj,46275426,43
HCTZ,974166,43
nystatin,922570,43
momelotinib,746600,43
glycerin,961145,42
calcitriol,19035631,42
tolvaptan,19036797,42
bisoprolol,1338005,42
cephalexin,1786621,42
terazosin,1341238,41
nilutamide,1315286,41
ramipril,1334456,41
letermovir,792929,41
enalapril,1341927,40
omacetaxine,45775576,40
linezolid,1736887,40
clindamycin,997881,40
vedolizumab,45774639,40
nirogacestat,747349,40
gentamicin,45892419,39
sertraline,739138,39
tinzaparin,1308473,39
nelfinavir,1715472,39
vonoprazan,779984,39
trilaciclib,739887,39
ifosfamide / mesna Inj,40048653,38
lacosamide,19087394,38
interferon beta-1b,713196,38
rifampin,1763204,37
amikacin,1790868,37
dexmedetomidine,19061088,37
sofosbuvir,44785094,36
propofol,753626,36
pipobroman,19046625,36
ergocalciferol,19045045,36
mesalamine,968426,36
tenofovir disoproxil,1710281,36
valsartan,1308842,36
ritonavir,1748921,36
amantadine,19087090,36
ketorolac,1136980,36
calcitonin,42900359,36
evolocumab,46287466,36
liothyronine,1505346,35
levocetirizine,1136422,35
lactulose,987245,35
gadoxetate,19031583,35
oxygen,19025274,35
risedronate,1516800,35
dronabinol,1037005,34
dimethindene,19028947,34
gadoterate meglumine,43526404,34
calcipotriene,908921,34
acetylcysteine,1139042,34
"sennosides, USP",938268,33
magnesium sulfate,19093848,33
tropisetron,19002800,33
salmon calcitonin,1537655,33
penicillin V,1729720,33
soybean oil,19070224,32
desmopressin,1517070,32
lamotrigine,705103,32
oxymorphone,1125765,32
ranibizumab,19080982,32
carvedilol,1346823,31
sulindac,1236607,31
droxidopa,44814542,31
dapsone,1711759,31
alteplase,1347450,31
tipiracil / trifluridine Oral,35602760,31
dexketoprofen,19056874,30
luteinizing hormone,1589795,30
nefopam,19015602,30
atenolol,1314002,30
albumin human,1344143,30
daclatasvir,46221696,30
nifedipine,1318853,30
avatrombopag,1510483,30
tobramycin,902722,29
indomethacin,1178663,29
naloxone,1114220,29
vigabatrin,19020002,29
topiramate,742267,29
iopromide,19003206,29
escitalopram,715939,29
edoxaban,45892847,29
buserelin,19033280,28
calcium gluconate,19037038,28
paricalcitol,1517740,28
cannabidiol,1510417,28
emtricitabine,1703069,28
aliskiren,1317967,28
citalopram,797617,28
osilodrostat,37499303,28
isoniazid,1782521,27
treprostinil,1327256,27
oxcarbazepine,718122,27
mometasone,905233,27
ketotifen,986117,26
calcium lactate,19058896,26
chlorhexidine,1790812,26
gelatin,19058092,26
chlormadinone,19026733,26
somatostatin,19136066,26
raltegravir,1712889,26
thiosulfate,45775550,26
vitamin B6,1353228,26
brotizolam,19039262,25
ropivacaine,1136487,25
interferon alfa-n1,19044394,25
dalotuzumab,43560324,25
ceftazidime,1776684,25
palifermin,19038562,25
isosorbide,1383815,25
oxybutynin,918906,25
tositumomab,19068894,25
nitroglycerin,1361711,25
ziconotide,19005061,24
clozapine,800878,24
calcium aspartate,19071869,24
simeprevir,44785086,24
verteporfin,912803,24
zopiclone,19044883,24
gemfibrozil,1558242,24
naloxone / oxycodone ER Oral,45774941,24
moxifloxacin,1716903,24
bupropion,750982,24
olmesartan,40226742,24
parathyroid hormone,43532113,24
trazodone,703547,24
vitamin E,19009540,24
verapamil,1307863,23
erythromycin,1746940,23
docusate,941258,23
interferon beta-1a,722424,23
sucralfate,1036228,23
capivasertib,747200,23
dipyridamole,1331270,23
fludrocortisone,1555120,23
progesterone,1552310,22
atovaquone,1781733,22
acetazolamide,929435,22
rocuronium,19003953,22
norepinephrine,1321341,22
sulfamethoxazole,1836430,22
quetiapine,766814,22
teriflunomide,42900584,22
beclomethasone,1115572,22
curcumin,19072030,22
leflunomide,1101898,22
hydroxocobalamin,1377023,21
paroxetine,722031,21
iohexol,19080985,21
nitrogen,19020477,21
ledipasvir,45775020,21
glutathione,19061083,21
lithium,19124477,20
dimenhydrinate,928744,20
tigecycline,1742432,20
certolizumab pegol,912263,20
ferrous sulfate,1396131,20
teicoplanin,19078399,20
methocarbamol,704943,20
chlorpromazine,794852,20
naldemedine,1593619,20
maribavir,702291,20
altretamine,1368823,19
torsemide,942350,19
pyridoxine,19005046,19
tazobactam,1741122,19
butylscopolamine,40234201,19
podofilox,947705,19
digoxin,1326303,19
protease,931973,19
tenofovir,19011093,19
colchicine,1101554,19
sufentanil,19078219,19
memantine,701322,19
glycopyrronium,45775571,19
ocrelizumab,1593457,19
fondaparinux,1315865,18
indacaterol,40240664,18
amiodarone,1309944,18
iopamidol,19081224,18
phenobarbital,734275,18
auranofin,1114771,18
mirikizumab,746977,17
samarium,1365720,17
palivizumab,537647,17
thyroid (USP),1501309,17
remifentanil,19016749,17
clavulanate,1759842,17
corticotropin,1541079,17
tazarotene,947416,17
quinagolide,19024140,17
L1 protein,529076,17
formoterol,1196677,16
disulfiram,735850,16
methylphenidate,705944,16
abacavir,1736971,16
phentolamine,1335539,16
fingolimod,40226579,16
insulin glargine,1502905,16
pentamidine,1730370,16
pyridostigmine,759740,16
epoetin beta,19001311,16
iron,1360067,16
fluoxetine,755695,16
aclidinium,42873639,16
alirocumab,46275447,16
nicardipine,1318137,16
pimavanserin,42628962,16
caffeine,1134439,16
prazosin,1350489,16
desipramine,716968,15
Candida albicans,538530,15
indium,43012200,15
diethylstilbestrol,1525866,15
olopatadine,915855,15
Escherichia coli,19030957,15
ethambutol,1749301,15
nortriptyline,721724,15
insulin lispro,1550023,15
petrolatum,19033354,15
dabigatran etexilate,40228152,15
hydralazine,1373928,15
basiliximab,19038440,15
irbesartan,1347384,15
rice oil,42899800,15
ezetimibe,1526475,15
sevelamer,952004,14
cyclobenzaprine,778711,14
alitretinoin,941052,14
ustekinumab,40161532,14
tizanidine,778474,14
maraviroc,1787101,14
chloroquine,1792515,14
alprostadil,1381504,14
bismuth,19025138,14
polyvinyl alcohol,948856,14
adapalene,981774,14
cyclizine,909358,13
macitentan,44507580,13
fluindione,19113013,13
methimazole,1504620,13
levamisole,1389464,13
candesartan,1351557,13
diltiazem,1328165,13
zinc oxide,911064,13
alpha 1-antitrypsin,1169352,13
droperidol,739323,13
naloxegol,45774613,13
dasabuvir,45892558,13
oxazepam,724816,13
perindopril,1373225,13
polyethylene glycol 4000,42899937,13
artesunate,19018511,13
carbidopa / levodopa Oral,45892916,13
cefpodoxime,1749008,13
tenofovir alafenamide,35605546,13
amifampridine,1355889,13
pyridoxal,19059817,12
acetaminophen / codeine Effervescent Oral,44817909,12
piperacillin,1746114,12
thiamine,19137312,12
nitrofurantoin,920293,12
roflumilast,40236897,12
lercanidipine,19015802,12
iron sucrose,1395773,12
norethindrone,1521369,12
atracurium,19014341,12
turmeric oil,43525900,12
nimesulide,19069425,12
paliperidone,703244,12
glimepiride,1597756,12
citrate,19011034,12
polaprezinc,1361281,12
hyaluronate,787787,12
pentazocine,1130585,12
secukinumab,45892883,12
niacinamide,19018419,12
velpatasvir,36249204,12
talc,1036667,12
menthol,901656,12
picosulfurate,45775584,12
cisatracurium,19015726,12
tildrakizumab,35200139,12
temazepam,836715,11
lactate,19011035,11
teriparatide,1521987,11
labetalol,1386957,11
dalfampridine,40170680,11
ferric carboxymaltose,43560392,11
phenoxybenzamine,1335301,11
clevidipine,19089969,11
pheniramine,933952,11
estrogens,19049228,11
glyceryl,740035,11
suvorexant,45775760,11
fesoterodine,19027958,11
quinacrine,19060400,11
melatonin,1301152,11
desloratadine,1103006,11
dimethicone,916662,11
lidocaine / prilocaine Medicated Patch,42629095,11
pentosan polysulfate,924151,11
triamterene,904542,11
pibrentasvir,793844,11
phenylephrine,1135766,11
benzydamine,19019620,11
budesonide / formoterol / glycopyrronium Metered Dose Inhaler,37002305,11
netupitant / palonosetron Oral,45774968,11
zonisamide,744798,10
magnesium chloride,19092849,10
modafinil,710650,10
levodopa,789578,10
theophylline,1237049,10
urea,906914,10
telmisartan,1317640,10
ubidecarenone,1351115,10
dexlansoprazole,19039926,10
flurbiprofen,1156378,10
meperidine,1102527,10
clobazam,19050832,10
sodium gualenate,746871,10
lubiprostone,987366,10
ertapenem,1717963,10
eflornithine,978236,10
collagenase Clostridium histolyticum,40172153,10
cyproheptadine,1110727,10
azosemide,19018517,10
ferrous fumarate,1595799,10
scopolamine,965748,10
dihydrocodeine,1189596,10
aceclofenac,19029393,10
ticagrelor,40241186,10
ombitasvir / paritaprevir / ritonavir Oral,45892556,10
factor VIII,1352213,10
asparagine,19011069,10
zinc,19010696,10
ivermectin,1784444,10
botulinum toxin type A,729855,10
methoxy polyethylene glycol-epoetin beta,19015768,9
acenocoumarol,19024063,9
dimethyl fumarate,43526424,9
mebendazole,1794280,9
silver sulfadiazine,966956,9
cilostazol,1350310,9
mepolizumab,35606631,9
nebivolol,1314577,9
deflazacort,19086888,9
eslicarbazepine,44507780,9
ciclopirox,950098,9
calcium acetate,951469,9
cefotaxime,1774470,9
glatiramer,751889,9
arginine,19006410,9
nitrous oxide,19021129,9
defibrotide,42898933,9
silver nitrate,966913,9
foscarnet,1724700,9
sitagliptin,1580747,9
minoxidil,1309068,9
opium,923829,9
glucarpidase,42709319,9
telotristat,1592537,9
alizapride,19030087,9
zirconium,44816339,9
sevoflurane,19039298,8
didanosine,1724869,8
naltrexone,1714319,8
fluvoxamine,751412,8
sapanisertib,37002782,8
pancreatin,926487,8
dolutegravir,43560385,8
technetium,702006,8
magnesium citrate,967861,8
sugammadex,35604506,8
dapagliflozin,44785829,8
nicotine,718583,8
efavirenz,1738135,8
umeclidinium,44785907,8
polysaccharide-K,40220969,8
clotiazepam,19068821,8
C1 esterase inhibitor,45892906,8
ephedrine,1143374,8
dofetilide,1362979,8
tromethamine,19006047,8
emtricitabine / tenofovir disoproxil Oral,40124350,8
tilidine,19002431,8
dicloxacillin,1724666,8
nimorazole,19019176,8
baricitinib,1510627,8
golimumab,19041065,8
pentoxifylline,1331247,8
epinastine,943634,8
sarilumab,1594587,8
risankizumab,1511348,8
piflufolastat,1537049,8
caplacizumab,1366428,8
primidone,751347,7
sodium phosphate,939871,7
fibrinogen,19054702,7
donepezil,715997,7
indapamide,978555,7
eszopiclone,757352,7
succinylcholine,836208,7
alginic acid,19030059,7
dexpanthenol,988294,7
coenzyme A,42903827,7
famciclovir,1703603,7
felbinac,19100761,7
prednimustine,19135793,7
azilsartan,40235485,7
ofloxacin,923081,7
pitavastatin,40165636,7
colesevelam,1518148,7
tetrabenazine,836877,7
stavudine,1781406,7
sodium polystyrene sulfonate,19078126,7
acetaminophen / tramadol Oral,40223205,7
daclizumab,19036892,7
vidarabine,908126,7
darunavir,1756831,7
molgramostim,19009676,7
levocarnitine,1553610,7
clotrimazole,1000632,7
desonide,917205,7
dutasteride / tamsulosin Oral,40222570,7
methylene blue,905518,7
exenatide,1583722,7
linagliptin,40239216,7
arformoterol,1111220,7
fusidate,19010400,7
fluciclovine,702009,7
vitamin K,19010128,7
tafamidis,45774701,7
avibactam,46221507,7
nitric oxide,19020068,7
HCTZ / valsartan Oral,40045128,7
ravulizumab,1356009,7
cefixime,1796435,7
lymecycline,19092353,7
tirzepatide,779705,7
nabumetone,1113648,6
cefmetazole,19072255,6
chloramphenicol,990069,6
guaifenesin,1163944,6
hexyl 5-aminolevulinate,43532423,6
iodixanol,19003201,6
folate,1387426,6
pramipexole,720810,6
phloroglucinol,19041222,6
milrinone,1368671,6
rofecoxib,1189754,6
acetylcarnitine,19037596,6
imipenem,1778262,6
strontium chloride,19100414,6
terbinafine,1741309,6
interferon gamma-1a,42903737,6
etonogestrel,1519936,6
norelgestromin,1518198,6
polymyxin B,948582,6
BCG,19023835,6
varenicline,780442,6
oseltamivir,1799139,6
liraglutide,40170911,6
lurasidone,40230761,6
cefdinir,1796458,6
eplerenone,1309799,6
insulin,1596977,6
potassium iodide,19049909,6
dulaglutide,45774435,6
ampicillin,1717327,6
chorionic gonadotropin,1563600,6
strontium,19000815,6
flunitrazepam,19055224,6
ticlopidine,1302398,6
riluzole,735951,6
linaclotide,42900505,6
dextroamphetamine,719311,6
magnesium salicylate,1168079,6
trospium,991825,6
tetracycline,1836948,6
aztreonam,1715117,6
saquinavir,1746244,6
mefloquine,19000498,6
amisulpride,19057607,6
calcium citrate,19058572,6
6-aminocaproic acid,1369939,6
muromonab-CD3,19051865,6
HCTZ / losartan Oral,40044821,6
adefovir,1729323,6
nadroparin,19001014,6
colistin,901845,6
phosphoric acid,943030,6
omega-3 fatty acids,19106973,6
ozanimod,37499437,6
calcium lactobionate,19090802,6
fenbendazole,40167608,6
upadacitinib,1361580,6
SARS-CoV-2 (COVID-19) vaccine,37003432,6
istradefylline,37496558,6
parecoxib,19003570,6
acebutolol,1319998,6
cariprazine,35603277,6
remdesivir,37499271,6
rifabutin,1777417,6
methylsulfonylmethane,1389780,6
suramin,19136651,6
bromhexine,19030493,5
vitamin K2,19106287,5
misoprostol,1150871,5
