indication,indication_concept_id,indication_clean,cancer_flag
ULNAR NERVE PALSY,36718487,ULNAR NERVE PALSY,FALSE
TYPE 1 DIABETES MELLITUS,35506621,TYPE 1 DIABETES MELLITUS,FALSE
PULMONARY EMBOLISM,37219871,PULMONARY EMBOLISM,FALSE
MYELOFIBROSIS,35104252,MYELOFIBROSIS,TRUE
STEM CELL TRANSPLANT,37521169,STEM CELL TRANSPLANT,FALSE
NON-SMALL CELL LUNG CANCER,36617836,NON-SMALL CELL LUNG CANCER,TRUE
HEREDITARY ANGIOEDEMA,35305505,HEREDITARY ANGIOEDEMA,FALSE
UNEVALUABLE EVENT,35809170,UNEVALUABLE EVENT,FALSE
SCHIZOPHRENIA,36919158,SCHIZOPHRENIA,FALSE
PLASMA CELL MYELOMA,43053715,PLASMA CELL MYELOMA,TRUE
CREST SYNDROME,35707839,CREST SYNDROME,FALSE
NEOPLASM,36617308,NEOPLASM,TRUE
PROSTATE CANCER,36617702,PROSTATE CANCER,TRUE
TRISOMY 21,35205156,TRISOMY 21,FALSE
CROHN'S DISEASE,35708063,CROHN'S DISEASE,FALSE
NAUSEA,35708202,NAUSEA,FALSE
GASTROOESOPHAGEAL REFLUX DISEASE,35708106,GASTROOESOPHAGEAL REFLUX DISEASE,FALSE
SERONEGATIVE ARTHRITIS,36516788,SERONEGATIVE ARTHRITIS,FALSE
RELAPSING-REMITTING MULTIPLE SCLEROSIS,36718116,RELAPSING-REMITTING MULTIPLE SCLEROSIS,FALSE
MUSCLE SPASMS,36516848,MUSCLE SPASMS,FALSE
MULTIPLE SCLEROSIS,36718111,MULTIPLE SCLEROSIS,FALSE
MATERNAL EXPOSURE TIMING UNSPECIFIED,42889641,MATERNAL EXPOSURE TIMING UNSPECIFIED,FALSE
BIPOLAR I DISORDER,36919031,BIPOLAR I DISORDER,FALSE
NEUROENDOCRINE TUMOUR,35506730,NEUROENDOCRINE TUMOUR,TRUE
MYELOPROLIFERATIVE DISORDER,35104254,MYELOPROLIFERATIVE DISORDER,TRUE
JANUS KINASE 2 MUTATION,42889426,JANUS KINASE 2 MUTATION,FALSE
HYPERSENSITIVITY,36009711,HYPERSENSITIVITY,FALSE
MANIA,36919036,MANIA,FALSE
GRAND MAL CONVULSION,36718510,GRAND MAL CONVULSION,FALSE
ESSENTIAL THROMBOCYTHAEMIA,35104249,ESSENTIAL THROMBOCYTHAEMIA,TRUE
CHRONIC MYELOID LEUKAEMIA,35104378,CHRONIC MYELOID LEUKAEMIA,TRUE
ASTHMA,36009700,ASTHMA,FALSE
SARCOIDOSIS,36009857,SARCOIDOSIS,FALSE
PYREXIA,35809054,PYREXIA,FALSE
GASTROINTESTINAL STROMAL TUMOUR,35708395,GASTROINTESTINAL STROMAL TUMOUR,TRUE
CONVULSION,36718526,CONVULSION,FALSE
NERVE INJURY,36211273,NERVE INJURY,FALSE
VENTRICULAR TACHYCARDIA,35204985,VENTRICULAR TACHYCARDIA,FALSE
HYPERTHYROIDISM,35506790,HYPERTHYROIDISM,FALSE
CONVULSION PROPHYLAXIS,37522052,CONVULSION PROPHYLAXIS,FALSE
HYPOKALAEMIA,36416595,HYPOKALAEMIA,FALSE
ANAESTHESIA,36718386,ANAESTHESIA,FALSE
RENAL FAILURE CHRONIC,37019320,RENAL FAILURE CHRONIC,FALSE
HEPATIC MASS,35909493,HEPATIC MASS,TRUE
CEREBROVASCULAR ACCIDENT,36718005,CEREBROVASCULAR ACCIDENT,FALSE
RENAL ARTERY STENOSIS,37019351,RENAL ARTERY STENOSIS,FALSE
PAIN IN EXTREMITY,36516959,PAIN IN EXTREMITY,FALSE
NEPHROGENIC SYSTEMIC FIBROSIS,36009847,NEPHROGENIC SYSTEMIC FIBROSIS,FALSE
METASTATIC RENAL CELL CARCINOMA,36617485,METASTATIC RENAL CELL CARCINOMA,TRUE
ADRENAL INSUFFICIENCY,35506459,ADRENAL INSUFFICIENCY,FALSE
OBSTRUCTIVE AIRWAYS DISORDER,37219807,OBSTRUCTIVE AIRWAYS DISORDER,FALSE
COLITIS ULCERATIVE,35708044,COLITIS ULCERATIVE,FALSE
PERIPHERAL VASCULAR DISORDER,37622501,PERIPHERAL VASCULAR DISORDER,FALSE
OESOPHAGITIS,35708083,OESOPHAGITIS,FALSE
HYPERCHOLESTEROLAEMIA,36416634,HYPERCHOLESTEROLAEMIA,FALSE
PROPHYLAXIS OF NAUSEA AND VOMITING,37522091,PROPHYLAXIS OF NAUSEA AND VOMITING,FALSE
OEDEMA PERIPHERAL,35205236,OEDEMA PERIPHERAL,FALSE
ADVERSE EVENT,35809320,ADVERSE EVENT,FALSE
SUPPLEMENTATION THERAPY,37522268,SUPPLEMENTATION THERAPY,FALSE
TRANSPLANT REJECTION,36009901,TRANSPLANT REJECTION,FALSE
OFF LABEL USE,37522220,OFF LABEL USE,FALSE
ENDOCARDITIS,35205223,ENDOCARDITIS,FALSE
CARDIOVASCULAR EVENT PROPHYLAXIS,37522046,CARDIOVASCULAR EVENT PROPHYLAXIS,FALSE
CARDIAC FAILURE,35205240,CARDIAC FAILURE,FALSE
PSYCHOTIC DISORDER,36919149,PSYCHOTIC DISORDER,FALSE
MITRAL VALVE STENOSIS,35205097,MITRAL VALVE STENOSIS,FALSE
VITAMIN SUPPLEMENTATION,37522009,VITAMIN SUPPLEMENTATION,FALSE
PSORIASIS,37320205,PSORIASIS,FALSE
PSORIATIC ARTHROPATHY,36516828,PSORIATIC ARTHROPATHY,FALSE
PARKINSON'S DISEASE,36718256,PARKINSON'S DISEASE,FALSE
SPONDYLITIS,36516830,SPONDYLITIS,FALSE
AFFECTIVE DISORDER,36919053,AFFECTIVE DISORDER,FALSE
CYSTIC FIBROSIS,35306246,CYSTIC FIBROSIS,FALSE
SCAN BRAIN,36314943,SCAN BRAIN,FALSE
METASTASES TO SPINE,36517082,METASTASES TO SPINE,TRUE
METASTASES TO CENTRAL NERVOUS SYSTEM,36617219,METASTASES TO CENTRAL NERVOUS SYSTEM,TRUE
OBSESSIVE-COMPULSIVE DISORDER,36918902,OBSESSIVE-COMPULSIVE DISORDER,FALSE
ACROMEGALY,35506645,ACROMEGALY,FALSE
COLLAGEN-VASCULAR DISEASE,36516771,COLLAGEN-VASCULAR DISEASE,FALSE
IMMUNODEFICIENCY COMMON VARIABLE,36009958,IMMUNODEFICIENCY COMMON VARIABLE,FALSE
MIXED CONNECTIVE TISSUE DISEASE,36009807,MIXED CONNECTIVE TISSUE DISEASE,FALSE
PULMONARY HAEMOSIDEROSIS,36416623,PULMONARY HAEMOSIDEROSIS,FALSE
LUNG INFILTRATION,37219834,LUNG INFILTRATION,FALSE
UPPER RESPIRATORY TRACT CONGESTION,37219964,UPPER RESPIRATORY TRACT CONGESTION,FALSE
THYROID CANCER,35506808,THYROID CANCER,TRUE
CENTRAL NERVOUS SYSTEM LYMPHOMA,35104457,CENTRAL NERVOUS SYSTEM LYMPHOMA,TRUE
CYSTITIS HAEMORRHAGIC,37019261,CYSTITIS HAEMORRHAGIC,FALSE
AUTOIMMUNE DISORDER,36009799,AUTOIMMUNE DISORDER,FALSE
MYOCARDIAL INFARCTION,35205189,MYOCARDIAL INFARCTION,FALSE
HEPATIC CIRRHOSIS,35909527,HEPATIC CIRRHOSIS,FALSE
DIPLOPIA,35607470,DIPLOPIA,FALSE
ABSCESS DRAINAGE,37522106,ABSCESS DRAINAGE,FALSE
BRONCHOSPASM,36009703,BRONCHOSPASM,FALSE
PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER,37522084,PROPHYLAXIS AGAINST GASTROINTESTINAL ULCER,FALSE
PERITONEAL DIALYSIS,37521167,PERITONEAL DIALYSIS,FALSE
AGORAPHOBIA,36918864,AGORAPHOBIA,FALSE
PARENTERAL NUTRITION,37522008,PARENTERAL NUTRITION,FALSE
ARTIFICIAL MENOPAUSE,37119535,ARTIFICIAL MENOPAUSE,FALSE
URINARY INCONTINENCE,36718449,URINARY INCONTINENCE,FALSE
PANCREATITIS CHRONIC,35707716,PANCREATITIS CHRONIC,FALSE
FRAGILE X SYNDROME,35305475,FRAGILE X SYNDROME,FALSE
HEADACHE,36718132,HEADACHE,FALSE
SLEEP DISORDER THERAPY,37522260,SLEEP DISORDER THERAPY,FALSE
PANIC DISORDER,36918905,PANIC DISORDER,FALSE
HAEMORRHAGE,37622518,HAEMORRHAGE,FALSE
RENAL FAILURE,37019318,RENAL FAILURE,FALSE
ACUTE MYELOID LEUKAEMIA,35104351,ACUTE MYELOID LEUKAEMIA,TRUE
INFECTION PROPHYLAXIS,37522062,INFECTION PROPHYLAXIS,FALSE
DRY EYE,35606946,DRY EYE,FALSE
ANTIFUNGAL PROPHYLAXIS,37522041,ANTIFUNGAL PROPHYLAXIS,FALSE
GASTROOESOPHAGEAL REFLUX PROPHYLAXIS,37520978,GASTROOESOPHAGEAL REFLUX PROPHYLAXIS,FALSE
CONSTIPATION,35708100,CONSTIPATION,FALSE
ATTENTION DEFICIT/HYPERACTIVITY DISORDER,36918918,ATTENTION DEFICIT/HYPERACTIVITY DISORDER,FALSE
CARNITINE DEFICIENCY,36416640,CARNITINE DEFICIENCY,FALSE
NEURALGIA,36718401,NEURALGIA,FALSE
MYALGIA,36516837,MYALGIA,FALSE
DYSPEPSIA,35708139,DYSPEPSIA,FALSE
ADVERSE DRUG REACTION,35809319,ADVERSE DRUG REACTION,FALSE
FLUID OVERLOAD,35205232,FLUID OVERLOAD,FALSE
HEART RATE,36311980,HEART RATE,FALSE
ANXIOLYTIC THERAPY,37521689,ANXIOLYTIC THERAPY,FALSE
CARDIAC DISORDER,35204989,CARDIAC DISORDER,FALSE
TUBEROUS SCLEROSIS,35306096,TUBEROUS SCLEROSIS,FALSE
MYELODYSPLASTIC SYNDROME,35104397,MYELODYSPLASTIC SYNDROME,TRUE
THALASSAEMIA,35104275,THALASSAEMIA,FALSE
SCHIZOAFFECTIVE DISORDER BIPOLAR TYPE,36919155,SCHIZOAFFECTIVE DISORDER BIPOLAR TYPE,FALSE
MOOD ALTERED,36919050,MOOD ALTERED,FALSE
LENNOX-GASTAUT SYNDROME,36718535,LENNOX-GASTAUT SYNDROME,FALSE
RHABDOMYOSARCOMA,36517095,RHABDOMYOSARCOMA,TRUE
NECK PAIN,36516958,NECK PAIN,FALSE
SEIZURE,36776613,SEIZURE,FALSE
LIMB INJURY,36211091,LIMB INJURY,FALSE
LOW DENSITY LIPOPROTEIN INCREASED,36314009,LOW DENSITY LIPOPROTEIN INCREASED,FALSE
POLYCYTHAEMIA,35104698,POLYCYTHAEMIA,FALSE
SCHIZOAFFECTIVE DISORDER,36919154,SCHIZOAFFECTIVE DISORDER,FALSE
MIGRAINE PROPHYLAXIS,37522067,MIGRAINE PROPHYLAXIS,FALSE
ANKYLOSING SPONDYLITIS,36009797,ANKYLOSING SPONDYLITIS,FALSE
HAEMORRHAGE PROPHYLAXIS,37522060,HAEMORRHAGE PROPHYLAXIS,FALSE
AGGRESSION,36919059,AGGRESSION,FALSE
ANAEMIA,35104074,ANAEMIA,FALSE
PRURITUS,37320197,PRURITUS,FALSE
MENTAL DISORDER,36919117,MENTAL DISORDER,FALSE
POLYCYTHAEMIA VERA,35104255,POLYCYTHAEMIA VERA,TRUE
MALIGNANT MELANOMA,36617920,MALIGNANT MELANOMA,TRUE
SEASONAL ALLERGY,36009776,SEASONAL ALLERGY,FALSE
HYPERTONIC BLADDER,36718583,HYPERTONIC BLADDER,FALSE
RENAL TRANSPLANT,37521745,RENAL TRANSPLANT,FALSE
LYMPHOMA,35104461,LYMPHOMA,TRUE
NON-HODGKIN'S LYMPHOMA,35104643,NON-HODGKIN'S LYMPHOMA,TRUE
JUVENILE MYOCLONIC EPILEPSY,42890508,JUVENILE MYOCLONIC EPILEPSY,FALSE
OVARIAN EPITHELIAL CANCER,36617647,OVARIAN EPITHELIAL CANCER,TRUE
PANCREATIC NEUROENDOCRINE TUMOUR,35506732,PANCREATIC NEUROENDOCRINE TUMOUR,TRUE
PATERNAL DRUGS AFFECTING FOETUS,36211199,PATERNAL DRUGS AFFECTING FOETUS,FALSE
CHRONIC SINUSITIS,36110689,CHRONIC SINUSITIS,FALSE
BRONCHITIS,36110584,BRONCHITIS,FALSE
WHEEZING,37219810,WHEEZING,FALSE
JOINT SWELLING,36516818,JOINT SWELLING,FALSE
METASTASES TO BONE,36517076,METASTASES TO BONE,TRUE
BREAST CANCER METASTATIC,36617166,BREAST CANCER METASTATIC,TRUE
VITAMIN B12 DEFICIENCY,36416721,VITAMIN B12 DEFICIENCY,FALSE
PERNICIOUS ANAEMIA,35104071,PERNICIOUS ANAEMIA,FALSE
BLOOD POTASSIUM DECREASED,36316381,BLOOD POTASSIUM DECREASED,FALSE
DIABETIC NEUROPATHY,35506521,DIABETIC NEUROPATHY,FALSE
"ASTROCYTOMA, LOW GRADE",36617343,"ASTROCYTOMA, LOW GRADE",TRUE
DEMYELINATION,36718108,DEMYELINATION,FALSE
VASCULITIS,36009918,VASCULITIS,FALSE
CENTRAL NERVOUS SYSTEM LESION,36718326,CENTRAL NERVOUS SYSTEM LESION,FALSE
ATAXIA,35809101,ATAXIA,FALSE
HYPOTENSION,37622449,HYPOTENSION,FALSE
OESOPHAGEAL SQUAMOUS CELL CARCINOMA,35708522,OESOPHAGEAL SQUAMOUS CELL CARCINOMA,TRUE
PROPHYLAXIS AGAINST GRAFT VERSUS HOST DISEASE,37522085,PROPHYLAXIS AGAINST GRAFT VERSUS HOST DISEASE,FALSE
HERPES SIMPLEX,36110915,HERPES SIMPLEX,FALSE
COLORECTAL CANCER METASTATIC,35708455,COLORECTAL CANCER METASTATIC,TRUE
NASOPHARYNGITIS,36110697,NASOPHARYNGITIS,FALSE
COLON CANCER,35708417,COLON CANCER,TRUE
VULVOVAGINAL MYCOTIC INFECTION,36110408,VULVOVAGINAL MYCOTIC INFECTION,FALSE
INFERTILITY FEMALE,37119655,INFERTILITY FEMALE,FALSE
INFANTILE SPASMS,36718534,INFANTILE SPASMS,FALSE
ACNE,37320257,ACNE,FALSE
PNEUMONIA,36110597,PNEUMONIA,FALSE
CAROTID ARTERY OCCLUSION,36717985,CAROTID ARTERY OCCLUSION,FALSE
PARTIAL SEIZURES,36718537,PARTIAL SEIZURES,FALSE
TOOTH DISORDER,35707649,TOOTH DISORDER,FALSE
CHRONIC HEPATITIS C,42889491,CHRONIC HEPATITIS C,FALSE
GAIT DISTURBANCE,35809104,GAIT DISTURBANCE,FALSE
DRUG THERAPY,37522151,DRUG THERAPY,FALSE
POLYURIA,37019450,POLYURIA,FALSE
THYROID HORMONE REPLACEMENT THERAPY,37520825,THYROID HORMONE REPLACEMENT THERAPY,FALSE
COUGH,37219907,COUGH,FALSE
ANALGESIC THERAPY,37521968,ANALGESIC THERAPY,FALSE
BLOOD PRESSURE ABNORMAL,36312064,BLOOD PRESSURE ABNORMAL,FALSE
SKIN COSMETIC PROCEDURE,37521872,SKIN COSMETIC PROCEDURE,FALSE
SKIN DISORDER,37320122,SKIN DISORDER,FALSE
RHEUMATIC DISORDER,42890575,RHEUMATIC DISORDER,FALSE
PROPHYLACTIC CHEMOTHERAPY,37522076,PROPHYLACTIC CHEMOTHERAPY,TRUE
RHINITIS,36110704,RHINITIS,FALSE
SMOKING CESSATION THERAPY,37522261,SMOKING CESSATION THERAPY,FALSE
ARTERIOSCLEROSIS,37622403,ARTERIOSCLEROSIS,FALSE
ENDOCRINE NEOPLASM MALIGNANT,35506721,ENDOCRINE NEOPLASM MALIGNANT,TRUE
TYPE IIA HYPERLIPIDAEMIA,35305820,TYPE IIA HYPERLIPIDAEMIA,FALSE
FEMALE GENITAL OPERATION,37521609,FEMALE GENITAL OPERATION,FALSE
GASTRIC CANCER,35708379,GASTRIC CANCER,TRUE
ZINC DEFICIENCY,36416632,ZINC DEFICIENCY,FALSE
ANTIINFLAMMATORY THERAPY,37522116,ANTIINFLAMMATORY THERAPY,FALSE
POST COITAL CONTRACEPTION,37521574,POST COITAL CONTRACEPTION,FALSE
SQUAMOUS CELL CARCINOMA OF HEAD AND NECK,43054019,SQUAMOUS CELL CARCINOMA OF HEAD AND NECK,TRUE
MANTLE CELL LYMPHOMA,35104532,MANTLE CELL LYMPHOMA,TRUE
HYPERURICAEMIA,36416698,HYPERURICAEMIA,FALSE
HYPERCALCAEMIA,35506742,HYPERCALCAEMIA,FALSE
NUTRITIONAL SUPPLEMENTATION,43054115,NUTRITIONAL SUPPLEMENTATION,FALSE
HAEMOCHROMATOSIS,35909547,HAEMOCHROMATOSIS,FALSE
SPLENOMEGALY,35104812,SPLENOMEGALY,FALSE
ANDROGENETIC ALOPECIA,35506556,ANDROGENETIC ALOPECIA,FALSE
ALOPECIA,37320268,ALOPECIA,FALSE
RECTAL CANCER METASTATIC,35708410,RECTAL CANCER METASTATIC,TRUE
B-CELL LYMPHOMA STAGE IV,35104471,B-CELL LYMPHOMA STAGE IV,TRUE
CARDIAC ANEURYSM,35205309,CARDIAC ANEURYSM,FALSE
CHEST PAIN,35205185,CHEST PAIN,FALSE
CANCER PAIN,36617316,CANCER PAIN,TRUE
HIV INFECTION,36009928,HIV INFECTION,FALSE
HAEMOSTASIS,37521165,HAEMOSTASIS,FALSE
ANTICOAGULANT THERAPY,37521153,ANTICOAGULANT THERAPY,FALSE
BLOOD CHOLESTEROL ABNORMAL,36313983,BLOOD CHOLESTEROL ABNORMAL,FALSE
RENAL CELL CARCINOMA,36617495,RENAL CELL CARCINOMA,TRUE
CYSTIC FIBROSIS LUNG,35306247,CYSTIC FIBROSIS LUNG,FALSE
NEUROPATHY PERIPHERAL,36718500,NEUROPATHY PERIPHERAL,FALSE
PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA,35104283,PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA,FALSE
PERIPHERAL T-CELL LYMPHOMA UNSPECIFIED,35104625,PERIPHERAL T-CELL LYMPHOMA UNSPECIFIED,TRUE
POOR QUALITY SLEEP,36718569,POOR QUALITY SLEEP,FALSE
LUNG NEOPLASM MALIGNANT,36617894,LUNG NEOPLASM MALIGNANT,TRUE
POLLAKIURIA,37019401,POLLAKIURIA,FALSE
HEPATIC STEATOSIS,35909612,HEPATIC STEATOSIS,FALSE
DIABETES PROPHYLAXIS,37522054,DIABETES PROPHYLAXIS,FALSE
RHINORRHOEA,37219959,RHINORRHOEA,FALSE
RESPIRATORY DISORDER,37219945,RESPIRATORY DISORDER,FALSE
CLOSTRIDIUM DIFFICILE INFECTION,43053888,CLOSTRIDIUM DIFFICILE INFECTION,FALSE
ILL-DEFINED DISORDER,35809136,ILL-DEFINED DISORDER,FALSE
RESPIRATORY THERAPY,37521844,RESPIRATORY THERAPY,FALSE
DEMENTIA ALZHEIMER'S TYPE,36718157,DEMENTIA ALZHEIMER'S TYPE,FALSE
TOOTHACHE,35707660,TOOTHACHE,FALSE
TOOTH INFECTION,35707632,TOOTH INFECTION,FALSE
MEDICAL OBSERVATION,36315318,MEDICAL OBSERVATION,FALSE
EMBOLISM,37622455,EMBOLISM,FALSE
HEPATIC CANCER,43053871,HEPATIC CANCER,TRUE
ANXIETY DISORDER,36918853,ANXIETY DISORDER,FALSE
RESTLESS LEGS SYNDROME,36516858,RESTLESS LEGS SYNDROME,FALSE
ERECTILE DYSFUNCTION,36919183,ERECTILE DYSFUNCTION,FALSE
SLEEP DISORDER,36919209,SLEEP DISORDER,FALSE
ESSENTIAL HYPERTENSION,37622528,ESSENTIAL HYPERTENSION,FALSE
STAPHYLOCOCCAL INFECTION,36110229,STAPHYLOCOCCAL INFECTION,FALSE
EXTRASYSTOLES,35204933,EXTRASYSTOLES,FALSE
FAMILIAL POLYCYTHAEMIA,35104696,FAMILIAL POLYCYTHAEMIA,FALSE
DYSLIPIDAEMIA,36416641,DYSLIPIDAEMIA,FALSE
LYMPHOCYTIC LEUKAEMIA,35104382,LYMPHOCYTIC LEUKAEMIA,TRUE
GLAUCOMA,35606985,GLAUCOMA,FALSE
PROGRESSIVE MULTIPLE SCLEROSIS,36718114,PROGRESSIVE MULTIPLE SCLEROSIS,FALSE
HYSTERECTOMY,37521654,HYSTERECTOMY,FALSE
TUBULOINTERSTITIAL NEPHRITIS,37019295,TUBULOINTERSTITIAL NEPHRITIS,FALSE
CARDIAC VALVE DISEASE,35205077,CARDIAC VALVE DISEASE,FALSE
PREMEDICATION,37522239,PREMEDICATION,FALSE
COLON CANCER METASTATIC,35708418,COLON CANCER METASTATIC,TRUE
RENAL CANCER,36617488,RENAL CANCER,TRUE
OSTEOARTHRITIS,36516824,OSTEOARTHRITIS,FALSE
OSTEOPENIA,36416550,OSTEOPENIA,FALSE
PREOPERATIVE CARE,37522240,PREOPERATIVE CARE,FALSE
RELAXATION THERAPY,37522250,RELAXATION THERAPY,FALSE
PROTHROMBIN TIME ABNORMAL,36313089,PROTHROMBIN TIME ABNORMAL,FALSE
PROSTATOMEGALY,37119619,PROSTATOMEGALY,FALSE
SPINAL DISORDER,36516757,SPINAL DISORDER,FALSE
BLOOD PRESSURE INCREASED,36312077,BLOOD PRESSURE INCREASED,FALSE
GASTRITIS,35708050,GASTRITIS,FALSE
